scenario,operation,dataset_files,phase,n,mean_ms,median_ms,p95_ms,p99_ms
scale-20,cat,20,auth.kdf_identity,1,199.87,199.87,199.87,199.87
scale-20,cat,20,preflight.checkpoint_evaluation,1,0.755,0.755,0.755,0.755
scale-20,cat,20,preflight.cloud_head_fetch,1,695.953,695.953,695.953,695.953
scale-20,cat,20,preflight.outbox_replay,1,0.071,0.071,0.071,0.071
scale-20,cat,20,preflight.relay_fetch_r2,1,2375.552,2375.552,2375.552,2375.552
scale-20,cat,20,preflight.total,1,3078.607,3078.607,3078.607,3078.607
scale-20,cat,20,read.blob_decrypt_verify,1,0.104,0.104,0.104,0.104
scale-20,cat,20,read.blob_fetch,1,744.37,744.37,744.37,744.37
scale-20,cat,20,read.path_resolution,1,5409.398,5409.398,5409.398,5409.398
scale-20,deep-scan,20,auth.kdf_identity,1,194.626,194.626,194.626,194.626
scale-20,deep-scan,20,preflight.checkpoint_evaluation,1,0.676,0.676,0.676,0.676
scale-20,deep-scan,20,preflight.cloud_head_fetch,1,501.845,501.845,501.845,501.845
scale-20,deep-scan,20,preflight.outbox_replay,1,0.071,0.071,0.071,0.071
scale-20,deep-scan,20,preflight.relay_fetch_r2,1,3035.001,3035.001,3035.001,3035.001
scale-20,deep-scan,20,preflight.total,1,3543.503,3543.503,3543.503,3543.503
scale-20,init,20,auth.kdf_identity,1,1937.979,1937.979,1937.979,1937.979
scale-20,init,20,init.checkpoint_publish_w2,1,2471.923,2471.923,2471.923,2471.923
scale-20,init,20,init.cloud_head_fetch,1,507.485,507.485,507.485,507.485
scale-20,init,20,init.genesis_publish_w2,1,2350.818,2350.818,2350.818,2350.818
scale-20,list,20,auth.kdf_identity,1,177.341,177.341,177.341,177.341
scale-20,list,20,preflight.checkpoint_evaluation,1,0.743,0.743,0.743,0.743
scale-20,list,20,preflight.cloud_head_fetch,1,567.261,567.261,567.261,567.261
scale-20,list,20,preflight.outbox_replay,1,0.07,0.07,0.07,0.07
scale-20,list,20,preflight.relay_fetch_r2,1,2361.455,2361.455,2361.455,2361.455
scale-20,list,20,preflight.total,1,2935.612,2935.612,2935.612,2935.612
scale-20,quick-scan,20,auth.kdf_identity,1,179.991,179.991,179.991,179.991
scale-20,quick-scan,20,preflight.checkpoint_evaluation,1,0.731,0.731,0.731,0.731
scale-20,quick-scan,20,preflight.cloud_head_fetch,1,519.103,519.103,519.103,519.103
scale-20,quick-scan,20,preflight.outbox_replay,1,0.07,0.07,0.07,0.07
scale-20,quick-scan,20,preflight.relay_fetch_r2,1,2351.664,2351.664,2351.664,2351.664
scale-20,quick-scan,20,preflight.total,1,2880.332,2880.332,2880.332,2880.332
scale-20,status,20,auth.kdf_identity,1,200.01,200.01,200.01,200.01
scale-20,status,20,preflight.checkpoint_evaluation,1,0.753,0.753,0.753,0.753
scale-20,status,20,preflight.cloud_head_fetch,1,515.529,515.529,515.529,515.529
scale-20,status,20,preflight.outbox_replay,1,0.079,0.079,0.079,0.079
scale-20,status,20,preflight.relay_fetch_r2,1,2250.569,2250.569,2250.569,2250.569
scale-20,status,20,preflight.total,1,2773.031,2773.031,2773.031,2773.031
scale-20,tree,20,auth.kdf_identity,1,194.452,194.452,194.452,194.452
scale-20,tree,20,preflight.checkpoint_evaluation,1,0.667,0.667,0.667,0.667
scale-20,tree,20,preflight.cloud_head_fetch,1,690.926,690.926,690.926,690.926
scale-20,tree,20,preflight.outbox_replay,1,0.076,0.076,0.076,0.076
scale-20,tree,20,preflight.relay_fetch_r2,1,2360.422,2360.422,2360.422,2360.422
scale-20,tree,20,preflight.total,1,3057.863,3057.863,3057.863,3057.863
