scenario,operation,dataset_files,sequence,phase,phase_ms
scale-20,init,20,1,auth.kdf_identity,1937.979
scale-20,init,20,1,init.checkpoint_publish_w2,2471.923
scale-20,init,20,1,init.cloud_head_fetch,507.485
scale-20,init,20,1,init.genesis_publish_w2,2350.818
scale-20,status,20,2,auth.kdf_identity,200.01
scale-20,status,20,2,preflight.checkpoint_evaluation,0.753
scale-20,status,20,2,preflight.cloud_head_fetch,515.529
scale-20,status,20,2,preflight.outbox_replay,0.079
scale-20,status,20,2,preflight.relay_fetch_r2,2250.569
scale-20,status,20,2,preflight.total,2773.031
scale-20,list,20,3,auth.kdf_identity,177.341
scale-20,list,20,3,preflight.checkpoint_evaluation,0.743
scale-20,list,20,3,preflight.cloud_head_fetch,567.261
scale-20,list,20,3,preflight.outbox_replay,0.07
scale-20,list,20,3,preflight.relay_fetch_r2,2361.455
scale-20,list,20,3,preflight.total,2935.612
scale-20,tree,20,4,auth.kdf_identity,194.452
scale-20,tree,20,4,preflight.checkpoint_evaluation,0.667
scale-20,tree,20,4,preflight.cloud_head_fetch,690.926
scale-20,tree,20,4,preflight.outbox_replay,0.076
scale-20,tree,20,4,preflight.relay_fetch_r2,2360.422
scale-20,tree,20,4,preflight.total,3057.863
scale-20,cat-sample-1,20,5,auth.kdf_identity,199.87
scale-20,cat-sample-1,20,5,preflight.checkpoint_evaluation,0.755
scale-20,cat-sample-1,20,5,preflight.cloud_head_fetch,695.953
scale-20,cat-sample-1,20,5,preflight.outbox_replay,0.071
scale-20,cat-sample-1,20,5,preflight.relay_fetch_r2,2375.552
scale-20,cat-sample-1,20,5,preflight.total,3078.607
scale-20,cat-sample-1,20,5,read.blob_decrypt_verify,0.104
scale-20,cat-sample-1,20,5,read.blob_fetch,744.37
scale-20,cat-sample-1,20,5,read.path_resolution,5409.398
scale-20,quick-scan,20,6,auth.kdf_identity,179.991
scale-20,quick-scan,20,6,preflight.checkpoint_evaluation,0.731
scale-20,quick-scan,20,6,preflight.cloud_head_fetch,519.103
scale-20,quick-scan,20,6,preflight.outbox_replay,0.07
scale-20,quick-scan,20,6,preflight.relay_fetch_r2,2351.664
scale-20,quick-scan,20,6,preflight.total,2880.332
scale-20,deep-scan,20,7,auth.kdf_identity,194.626
scale-20,deep-scan,20,7,preflight.checkpoint_evaluation,0.676
scale-20,deep-scan,20,7,preflight.cloud_head_fetch,501.845
scale-20,deep-scan,20,7,preflight.outbox_replay,0.071
scale-20,deep-scan,20,7,preflight.relay_fetch_r2,3035.001
scale-20,deep-scan,20,7,preflight.total,3543.503
