scenario,operation,dataset_files,phase,n,mean_ms,median_ms,p95_ms,p99_ms
scale-20,cat,20,auth.kdf_identity,1,181.365,181.365,181.365,181.365
scale-20,cat,20,preflight.checkpoint_evaluation,1,0.736,0.736,0.736,0.736
scale-20,cat,20,preflight.cloud_head_fetch,1,560.075,560.075,560.075,560.075
scale-20,cat,20,preflight.outbox_replay,1,0.115,0.115,0.115,0.115
scale-20,cat,20,preflight.relay_fetch_r2,1,2175.332,2175.332,2175.332,2175.332
scale-20,cat,20,preflight.total,1,2742.065,2742.065,2742.065,2742.065
scale-20,cat,20,read.blob_decrypt_verify,1,0.253,0.253,0.253,0.253
scale-20,cat,20,read.blob_fetch,1,674.705,674.705,674.705,674.705
scale-20,cat,20,read.path_resolution,1,4777.062,4777.062,4777.062,4777.062
scale-20,deep-scan,20,auth.kdf_identity,1,196.651,196.651,196.651,196.651
scale-20,deep-scan,20,preflight.checkpoint_evaluation,1,0.805,0.805,0.805,0.805
scale-20,deep-scan,20,preflight.cloud_head_fetch,1,528.897,528.897,528.897,528.897
scale-20,deep-scan,20,preflight.outbox_replay,1,0.071,0.071,0.071,0.071
scale-20,deep-scan,20,preflight.relay_fetch_r2,1,2322.811,2322.811,2322.811,2322.811
scale-20,deep-scan,20,preflight.total,1,2858.052,2858.052,2858.052,2858.052
scale-20,init,20,auth.kdf_identity,1,1285.086,1285.086,1285.086,1285.086
scale-20,init,20,init.checkpoint_publish_w2,1,2425.021,2425.021,2425.021,2425.021
scale-20,init,20,init.cloud_head_fetch,1,466.884,466.884,466.884,466.884
scale-20,init,20,init.genesis_publish_w2,1,2467.011,2467.011,2467.011,2467.011
scale-20,list,20,auth.kdf_identity,1,214.576,214.576,214.576,214.576
scale-20,list,20,preflight.checkpoint_evaluation,1,0.707,0.707,0.707,0.707
scale-20,list,20,preflight.cloud_head_fetch,1,472.905,472.905,472.905,472.905
scale-20,list,20,preflight.outbox_replay,1,0.067,0.067,0.067,0.067
scale-20,list,20,preflight.relay_fetch_r2,1,2321.27,2321.27,2321.27,2321.27
scale-20,list,20,preflight.total,1,2800.906,2800.906,2800.906,2800.906
scale-20,quick-scan,20,auth.kdf_identity,1,183.997,183.997,183.997,183.997
scale-20,quick-scan,20,preflight.checkpoint_evaluation,1,0.732,0.732,0.732,0.732
scale-20,quick-scan,20,preflight.cloud_head_fetch,1,526.151,526.151,526.151,526.151
scale-20,quick-scan,20,preflight.outbox_replay,1,0.075,0.075,0.075,0.075
scale-20,quick-scan,20,preflight.relay_fetch_r2,1,2421.398,2421.398,2421.398,2421.398
scale-20,quick-scan,20,preflight.total,1,2954.738,2954.738,2954.738,2954.738
scale-20,status,20,auth.kdf_identity,1,175.656,175.656,175.656,175.656
scale-20,status,20,preflight.checkpoint_evaluation,1,0.752,0.752,0.752,0.752
scale-20,status,20,preflight.cloud_head_fetch,1,476.378,476.378,476.378,476.378
scale-20,status,20,preflight.outbox_replay,1,0.069,0.069,0.069,0.069
scale-20,status,20,preflight.relay_fetch_r2,1,2760.372,2760.372,2760.372,2760.372
scale-20,status,20,preflight.total,1,3243.984,3243.984,3243.984,3243.984
scale-20,tree,20,auth.kdf_identity,1,198.393,198.393,198.393,198.393
scale-20,tree,20,preflight.checkpoint_evaluation,1,0.726,0.726,0.726,0.726
scale-20,tree,20,preflight.cloud_head_fetch,1,1504.344,1504.344,1504.344,1504.344
scale-20,tree,20,preflight.outbox_replay,1,0.079,0.079,0.079,0.079
scale-20,tree,20,preflight.relay_fetch_r2,1,2520.897,2520.897,2520.897,2520.897
scale-20,tree,20,preflight.total,1,4031.795,4031.795,4031.795,4031.795
