scenario,operation,dataset_files,sequence,phase,phase_ms
scale-20,init,20,1,auth.kdf_identity,1285.086
scale-20,init,20,1,init.checkpoint_publish_w2,2425.021
scale-20,init,20,1,init.cloud_head_fetch,466.884
scale-20,init,20,1,init.genesis_publish_w2,2467.011
scale-20,status,20,2,auth.kdf_identity,175.656
scale-20,status,20,2,preflight.checkpoint_evaluation,0.752
scale-20,status,20,2,preflight.cloud_head_fetch,476.378
scale-20,status,20,2,preflight.outbox_replay,0.069
scale-20,status,20,2,preflight.relay_fetch_r2,2760.372
scale-20,status,20,2,preflight.total,3243.984
scale-20,list,20,3,auth.kdf_identity,214.576
scale-20,list,20,3,preflight.checkpoint_evaluation,0.707
scale-20,list,20,3,preflight.cloud_head_fetch,472.905
scale-20,list,20,3,preflight.outbox_replay,0.067
scale-20,list,20,3,preflight.relay_fetch_r2,2321.27
scale-20,list,20,3,preflight.total,2800.906
scale-20,tree,20,4,auth.kdf_identity,198.393
scale-20,tree,20,4,preflight.checkpoint_evaluation,0.726
scale-20,tree,20,4,preflight.cloud_head_fetch,1504.344
scale-20,tree,20,4,preflight.outbox_replay,0.079
scale-20,tree,20,4,preflight.relay_fetch_r2,2520.897
scale-20,tree,20,4,preflight.total,4031.795
scale-20,cat-sample-1,20,5,auth.kdf_identity,181.365
scale-20,cat-sample-1,20,5,preflight.checkpoint_evaluation,0.736
scale-20,cat-sample-1,20,5,preflight.cloud_head_fetch,560.075
scale-20,cat-sample-1,20,5,preflight.outbox_replay,0.115
scale-20,cat-sample-1,20,5,preflight.relay_fetch_r2,2175.332
scale-20,cat-sample-1,20,5,preflight.total,2742.065
scale-20,cat-sample-1,20,5,read.blob_decrypt_verify,0.253
scale-20,cat-sample-1,20,5,read.blob_fetch,674.705
scale-20,cat-sample-1,20,5,read.path_resolution,4777.062
scale-20,quick-scan,20,6,auth.kdf_identity,183.997
scale-20,quick-scan,20,6,preflight.checkpoint_evaluation,0.732
scale-20,quick-scan,20,6,preflight.cloud_head_fetch,526.151
scale-20,quick-scan,20,6,preflight.outbox_replay,0.075
scale-20,quick-scan,20,6,preflight.relay_fetch_r2,2421.398
scale-20,quick-scan,20,6,preflight.total,2954.738
scale-20,deep-scan,20,7,auth.kdf_identity,196.651
scale-20,deep-scan,20,7,preflight.checkpoint_evaluation,0.805
scale-20,deep-scan,20,7,preflight.cloud_head_fetch,528.897
scale-20,deep-scan,20,7,preflight.outbox_replay,0.071
scale-20,deep-scan,20,7,preflight.relay_fetch_r2,2322.811
scale-20,deep-scan,20,7,preflight.total,2858.052
