scenario,operation,dataset_files,phase,n,mean_ms,median_ms,p95_ms,p99_ms
scale-20,cat,20,auth.kdf_identity,1,181.34,181.34,181.34,181.34
scale-20,cat,20,preflight.checkpoint_evaluation,1,0.702,0.702,0.702,0.702
scale-20,cat,20,preflight.cloud_head_fetch,1,553.965,553.965,553.965,553.965
scale-20,cat,20,preflight.outbox_replay,1,0.07,0.07,0.07,0.07
scale-20,cat,20,preflight.relay_fetch_r2,1,2243.139,2243.139,2243.139,2243.139
scale-20,cat,20,preflight.total,1,2804.672,2804.672,2804.672,2804.672
scale-20,cat,20,read.blob_decrypt_verify,1,0.179,0.179,0.179,0.179
scale-20,cat,20,read.blob_fetch,1,645.274,645.274,645.274,645.274
scale-20,cat,20,read.path_resolution,1,4563.682,4563.682,4563.682,4563.682
scale-20,deep-scan,20,auth.kdf_identity,1,200.104,200.104,200.104,200.104
scale-20,deep-scan,20,preflight.checkpoint_evaluation,1,0.735,0.735,0.735,0.735
scale-20,deep-scan,20,preflight.cloud_head_fetch,1,447.131,447.131,447.131,447.131
scale-20,deep-scan,20,preflight.outbox_replay,1,0.075,0.075,0.075,0.075
scale-20,deep-scan,20,preflight.relay_fetch_r2,1,2382.934,2382.934,2382.934,2382.934
scale-20,deep-scan,20,preflight.total,1,2836.332,2836.332,2836.332,2836.332
scale-20,init,20,auth.kdf_identity,1,1627.813,1627.813,1627.813,1627.813
scale-20,init,20,init.checkpoint_publish_w2,1,2253.233,2253.233,2253.233,2253.233
scale-20,init,20,init.cloud_head_fetch,1,464.963,464.963,464.963,464.963
scale-20,init,20,init.genesis_publish_w2,1,2293.613,2293.613,2293.613,2293.613
scale-20,list,20,auth.kdf_identity,1,194.372,194.372,194.372,194.372
scale-20,list,20,preflight.checkpoint_evaluation,1,0.719,0.719,0.719,0.719
scale-20,list,20,preflight.cloud_head_fetch,1,1644.177,1644.177,1644.177,1644.177
scale-20,list,20,preflight.outbox_replay,1,0.067,0.067,0.067,0.067
scale-20,list,20,preflight.relay_fetch_r2,1,2275.942,2275.942,2275.942,2275.942
scale-20,list,20,preflight.total,1,3926.33,3926.33,3926.33,3926.33
scale-20,quick-scan,20,auth.kdf_identity,1,187.196,187.196,187.196,187.196
scale-20,quick-scan,20,preflight.checkpoint_evaluation,1,0.74,0.74,0.74,0.74
scale-20,quick-scan,20,preflight.cloud_head_fetch,1,476.261,476.261,476.261,476.261
scale-20,quick-scan,20,preflight.outbox_replay,1,0.069,0.069,0.069,0.069
scale-20,quick-scan,20,preflight.relay_fetch_r2,1,2306.11,2306.11,2306.11,2306.11
scale-20,quick-scan,20,preflight.total,1,2789.791,2789.791,2789.791,2789.791
scale-20,status,20,auth.kdf_identity,1,174.798,174.798,174.798,174.798
scale-20,status,20,preflight.checkpoint_evaluation,1,0.731,0.731,0.731,0.731
scale-20,status,20,preflight.cloud_head_fetch,1,449.054,449.054,449.054,449.054
scale-20,status,20,preflight.outbox_replay,1,0.068,0.068,0.068,0.068
scale-20,status,20,preflight.relay_fetch_r2,1,2374.081,2374.081,2374.081,2374.081
scale-20,status,20,preflight.total,1,2829.105,2829.105,2829.105,2829.105
scale-20,tree,20,auth.kdf_identity,1,192.513,192.513,192.513,192.513
scale-20,tree,20,preflight.checkpoint_evaluation,1,0.721,0.721,0.721,0.721
scale-20,tree,20,preflight.cloud_head_fetch,1,506.002,506.002,506.002,506.002
scale-20,tree,20,preflight.outbox_replay,1,0.068,0.068,0.068,0.068
scale-20,tree,20,preflight.relay_fetch_r2,1,2268.528,2268.528,2268.528,2268.528
scale-20,tree,20,preflight.total,1,2781.562,2781.562,2781.562,2781.562
