scenario,operation,dataset_files,sequence,phase,phase_ms
scale-20,init,20,1,auth.kdf_identity,1627.813
scale-20,init,20,1,init.checkpoint_publish_w2,2253.233
scale-20,init,20,1,init.cloud_head_fetch,464.963
scale-20,init,20,1,init.genesis_publish_w2,2293.613
scale-20,status,20,2,auth.kdf_identity,174.798
scale-20,status,20,2,preflight.checkpoint_evaluation,0.731
scale-20,status,20,2,preflight.cloud_head_fetch,449.054
scale-20,status,20,2,preflight.outbox_replay,0.068
scale-20,status,20,2,preflight.relay_fetch_r2,2374.081
scale-20,status,20,2,preflight.total,2829.105
scale-20,list,20,3,auth.kdf_identity,194.372
scale-20,list,20,3,preflight.checkpoint_evaluation,0.719
scale-20,list,20,3,preflight.cloud_head_fetch,1644.177
scale-20,list,20,3,preflight.outbox_replay,0.067
scale-20,list,20,3,preflight.relay_fetch_r2,2275.942
scale-20,list,20,3,preflight.total,3926.33
scale-20,tree,20,4,auth.kdf_identity,192.513
scale-20,tree,20,4,preflight.checkpoint_evaluation,0.721
scale-20,tree,20,4,preflight.cloud_head_fetch,506.002
scale-20,tree,20,4,preflight.outbox_replay,0.068
scale-20,tree,20,4,preflight.relay_fetch_r2,2268.528
scale-20,tree,20,4,preflight.total,2781.562
scale-20,cat-sample-1,20,5,auth.kdf_identity,181.34
scale-20,cat-sample-1,20,5,preflight.checkpoint_evaluation,0.702
scale-20,cat-sample-1,20,5,preflight.cloud_head_fetch,553.965
scale-20,cat-sample-1,20,5,preflight.outbox_replay,0.07
scale-20,cat-sample-1,20,5,preflight.relay_fetch_r2,2243.139
scale-20,cat-sample-1,20,5,preflight.total,2804.672
scale-20,cat-sample-1,20,5,read.blob_decrypt_verify,0.179
scale-20,cat-sample-1,20,5,read.blob_fetch,645.274
scale-20,cat-sample-1,20,5,read.path_resolution,4563.682
scale-20,quick-scan,20,6,auth.kdf_identity,187.196
scale-20,quick-scan,20,6,preflight.checkpoint_evaluation,0.74
scale-20,quick-scan,20,6,preflight.cloud_head_fetch,476.261
scale-20,quick-scan,20,6,preflight.outbox_replay,0.069
scale-20,quick-scan,20,6,preflight.relay_fetch_r2,2306.11
scale-20,quick-scan,20,6,preflight.total,2789.791
scale-20,deep-scan,20,7,auth.kdf_identity,200.104
scale-20,deep-scan,20,7,preflight.checkpoint_evaluation,0.735
scale-20,deep-scan,20,7,preflight.cloud_head_fetch,447.131
scale-20,deep-scan,20,7,preflight.outbox_replay,0.075
scale-20,deep-scan,20,7,preflight.relay_fetch_r2,2382.934
scale-20,deep-scan,20,7,preflight.total,2836.332
