scenario,operation,dataset_files,phase,n,mean_ms,median_ms,p95_ms,p99_ms
scale-10,cat,10,auth.kdf_identity,1,177.492,177.492,177.492,177.492
scale-10,cat,10,preflight.checkpoint_evaluation,1,0.727,0.727,0.727,0.727
scale-10,cat,10,preflight.cloud_head_fetch,1,466.043,466.043,466.043,466.043
scale-10,cat,10,preflight.outbox_replay,1,0.078,0.078,0.078,0.078
scale-10,cat,10,preflight.relay_fetch_r2,1,2345.659,2345.659,2345.659,2345.659
scale-10,cat,10,preflight.total,1,2819.264,2819.264,2819.264,2819.264
scale-10,cat,10,read.blob_decrypt_verify,1,4.284,4.284,4.284,4.284
scale-10,cat,10,read.blob_fetch,1,757.465,757.465,757.465,757.465
scale-10,cat,10,read.path_resolution,1,4764.173,4764.173,4764.173,4764.173
scale-10,deep-scan,10,auth.kdf_identity,1,178.598,178.598,178.598,178.598
scale-10,deep-scan,10,preflight.checkpoint_evaluation,1,0.763,0.763,0.763,0.763
scale-10,deep-scan,10,preflight.cloud_head_fetch,1,449.803,449.803,449.803,449.803
scale-10,deep-scan,10,preflight.outbox_replay,1,0.071,0.071,0.071,0.071
scale-10,deep-scan,10,preflight.relay_fetch_r2,1,2248.433,2248.433,2248.433,2248.433
scale-10,deep-scan,10,preflight.total,1,2705.699,2705.699,2705.699,2705.699
scale-10,init,10,auth.kdf_identity,1,1322.73,1322.73,1322.73,1322.73
scale-10,init,10,init.checkpoint_publish_w2,1,2454.868,2454.868,2454.868,2454.868
scale-10,init,10,init.cloud_head_fetch,1,505.123,505.123,505.123,505.123
scale-10,init,10,init.genesis_publish_w2,1,2127.693,2127.693,2127.693,2127.693
scale-10,list,10,auth.kdf_identity,1,199.815,199.815,199.815,199.815
scale-10,list,10,preflight.checkpoint_evaluation,1,0.589,0.589,0.589,0.589
scale-10,list,10,preflight.cloud_head_fetch,1,1541.889,1541.889,1541.889,1541.889
scale-10,list,10,preflight.outbox_replay,1,0.07,0.07,0.07,0.07
scale-10,list,10,preflight.relay_fetch_r2,1,2233.489,2233.489,2233.489,2233.489
scale-10,list,10,preflight.total,1,3781.663,3781.663,3781.663,3781.663
scale-10,quick-scan,10,auth.kdf_identity,1,183.906,183.906,183.906,183.906
scale-10,quick-scan,10,preflight.checkpoint_evaluation,1,0.772,0.772,0.772,0.772
scale-10,quick-scan,10,preflight.cloud_head_fetch,1,510.708,510.708,510.708,510.708
scale-10,quick-scan,10,preflight.outbox_replay,1,0.059,0.059,0.059,0.059
scale-10,quick-scan,10,preflight.relay_fetch_r2,1,2541.502,2541.502,2541.502,2541.502
scale-10,quick-scan,10,preflight.total,1,3059.657,3059.657,3059.657,3059.657
scale-10,status,10,auth.kdf_identity,1,197.652,197.652,197.652,197.652
scale-10,status,10,preflight.checkpoint_evaluation,1,0.784,0.784,0.784,0.784
scale-10,status,10,preflight.cloud_head_fetch,1,462.448,462.448,462.448,462.448
scale-10,status,10,preflight.outbox_replay,1,0.082,0.082,0.082,0.082
scale-10,status,10,preflight.relay_fetch_r2,1,2382.622,2382.622,2382.622,2382.622
scale-10,status,10,preflight.total,1,2852.127,2852.127,2852.127,2852.127
scale-10,tree,10,auth.kdf_identity,1,197.745,197.745,197.745,197.745
scale-10,tree,10,preflight.checkpoint_evaluation,1,0.673,0.673,0.673,0.673
scale-10,tree,10,preflight.cloud_head_fetch,1,477.199,477.199,477.199,477.199
scale-10,tree,10,preflight.outbox_replay,1,0.068,0.068,0.068,0.068
scale-10,tree,10,preflight.relay_fetch_r2,1,2397.667,2397.667,2397.667,2397.667
scale-10,tree,10,preflight.total,1,2882.35,2882.35,2882.35,2882.35
