scenario,operation,dataset_files,sequence,phase,phase_ms
scale-10,init,10,1,auth.kdf_identity,1322.73
scale-10,init,10,1,init.checkpoint_publish_w2,2454.868
scale-10,init,10,1,init.cloud_head_fetch,505.123
scale-10,init,10,1,init.genesis_publish_w2,2127.693
scale-10,status,10,2,auth.kdf_identity,197.652
scale-10,status,10,2,preflight.checkpoint_evaluation,0.784
scale-10,status,10,2,preflight.cloud_head_fetch,462.448
scale-10,status,10,2,preflight.outbox_replay,0.082
scale-10,status,10,2,preflight.relay_fetch_r2,2382.622
scale-10,status,10,2,preflight.total,2852.127
scale-10,list,10,3,auth.kdf_identity,199.815
scale-10,list,10,3,preflight.checkpoint_evaluation,0.589
scale-10,list,10,3,preflight.cloud_head_fetch,1541.889
scale-10,list,10,3,preflight.outbox_replay,0.07
scale-10,list,10,3,preflight.relay_fetch_r2,2233.489
scale-10,list,10,3,preflight.total,3781.663
scale-10,tree,10,4,auth.kdf_identity,197.745
scale-10,tree,10,4,preflight.checkpoint_evaluation,0.673
scale-10,tree,10,4,preflight.cloud_head_fetch,477.199
scale-10,tree,10,4,preflight.outbox_replay,0.068
scale-10,tree,10,4,preflight.relay_fetch_r2,2397.667
scale-10,tree,10,4,preflight.total,2882.35
scale-10,cat-sample-1,10,5,auth.kdf_identity,177.492
scale-10,cat-sample-1,10,5,preflight.checkpoint_evaluation,0.727
scale-10,cat-sample-1,10,5,preflight.cloud_head_fetch,466.043
scale-10,cat-sample-1,10,5,preflight.outbox_replay,0.078
scale-10,cat-sample-1,10,5,preflight.relay_fetch_r2,2345.659
scale-10,cat-sample-1,10,5,preflight.total,2819.264
scale-10,cat-sample-1,10,5,read.blob_decrypt_verify,4.284
scale-10,cat-sample-1,10,5,read.blob_fetch,757.465
scale-10,cat-sample-1,10,5,read.path_resolution,4764.173
scale-10,quick-scan,10,6,auth.kdf_identity,183.906
scale-10,quick-scan,10,6,preflight.checkpoint_evaluation,0.772
scale-10,quick-scan,10,6,preflight.cloud_head_fetch,510.708
scale-10,quick-scan,10,6,preflight.outbox_replay,0.059
scale-10,quick-scan,10,6,preflight.relay_fetch_r2,2541.502
scale-10,quick-scan,10,6,preflight.total,3059.657
scale-10,deep-scan,10,7,auth.kdf_identity,178.598
scale-10,deep-scan,10,7,preflight.checkpoint_evaluation,0.763
scale-10,deep-scan,10,7,preflight.cloud_head_fetch,449.803
scale-10,deep-scan,10,7,preflight.outbox_replay,0.071
scale-10,deep-scan,10,7,preflight.relay_fetch_r2,2248.433
scale-10,deep-scan,10,7,preflight.total,2705.699
