scenario,operation,dataset_files,phase,n,mean_ms,median_ms,p95_ms,p99_ms
scale-10,cat,10,auth.kdf_identity,1,185.056,185.056,185.056,185.056
scale-10,cat,10,preflight.checkpoint_evaluation,1,0.675,0.675,0.675,0.675
scale-10,cat,10,preflight.cloud_head_fetch,1,706.947,706.947,706.947,706.947
scale-10,cat,10,preflight.outbox_replay,1,0.075,0.075,0.075,0.075
scale-10,cat,10,preflight.relay_fetch_r2,1,2562.968,2562.968,2562.968,2562.968
scale-10,cat,10,preflight.total,1,3277.249,3277.249,3277.249,3277.249
scale-10,cat,10,read.blob_decrypt_verify,1,47.83,47.83,47.83,47.83
scale-10,cat,10,read.blob_fetch,1,1270.741,1270.741,1270.741,1270.741
scale-10,cat,10,read.path_resolution,1,4495.264,4495.264,4495.264,4495.264
scale-10,deep-scan,10,auth.kdf_identity,1,182.923,182.923,182.923,182.923
scale-10,deep-scan,10,preflight.checkpoint_evaluation,1,0.724,0.724,0.724,0.724
scale-10,deep-scan,10,preflight.cloud_head_fetch,1,466.14,466.14,466.14,466.14
scale-10,deep-scan,10,preflight.outbox_replay,1,0.107,0.107,0.107,0.107
scale-10,deep-scan,10,preflight.relay_fetch_r2,1,2383.005,2383.005,2383.005,2383.005
scale-10,deep-scan,10,preflight.total,1,2857.814,2857.814,2857.814,2857.814
scale-10,init,10,auth.kdf_identity,1,1215.775,1215.775,1215.775,1215.775
scale-10,init,10,init.checkpoint_publish_w2,1,2186.129,2186.129,2186.129,2186.129
scale-10,init,10,init.cloud_head_fetch,1,463.089,463.089,463.089,463.089
scale-10,init,10,init.genesis_publish_w2,1,2359.524,2359.524,2359.524,2359.524
scale-10,list,10,auth.kdf_identity,1,183.578,183.578,183.578,183.578
scale-10,list,10,preflight.checkpoint_evaluation,1,0.757,0.757,0.757,0.757
scale-10,list,10,preflight.cloud_head_fetch,1,1540.163,1540.163,1540.163,1540.163
scale-10,list,10,preflight.outbox_replay,1,0.075,0.075,0.075,0.075
scale-10,list,10,preflight.relay_fetch_r2,1,2356.597,2356.597,2356.597,2356.597
scale-10,list,10,preflight.total,1,3903.599,3903.599,3903.599,3903.599
scale-10,quick-scan,10,auth.kdf_identity,1,198.114,198.114,198.114,198.114
scale-10,quick-scan,10,preflight.checkpoint_evaluation,1,0.758,0.758,0.758,0.758
scale-10,quick-scan,10,preflight.cloud_head_fetch,1,551.743,551.743,551.743,551.743
scale-10,quick-scan,10,preflight.outbox_replay,1,0.082,0.082,0.082,0.082
scale-10,quick-scan,10,preflight.relay_fetch_r2,1,2394.959,2394.959,2394.959,2394.959
scale-10,quick-scan,10,preflight.total,1,2953.39,2953.39,2953.39,2953.39
scale-10,status,10,auth.kdf_identity,1,198.888,198.888,198.888,198.888
scale-10,status,10,preflight.checkpoint_evaluation,1,0.734,0.734,0.734,0.734
scale-10,status,10,preflight.cloud_head_fetch,1,446.178,446.178,446.178,446.178
scale-10,status,10,preflight.outbox_replay,1,0.074,0.074,0.074,0.074
scale-10,status,10,preflight.relay_fetch_r2,1,2345.006,2345.006,2345.006,2345.006
scale-10,status,10,preflight.total,1,2800.149,2800.149,2800.149,2800.149
scale-10,tree,10,auth.kdf_identity,1,200.506,200.506,200.506,200.506
scale-10,tree,10,preflight.checkpoint_evaluation,1,0.671,0.671,0.671,0.671
scale-10,tree,10,preflight.cloud_head_fetch,1,443.943,443.943,443.943,443.943
scale-10,tree,10,preflight.outbox_replay,1,0.073,0.073,0.073,0.073
scale-10,tree,10,preflight.relay_fetch_r2,1,2395.535,2395.535,2395.535,2395.535
scale-10,tree,10,preflight.total,1,2848.105,2848.105,2848.105,2848.105
