scenario,operation,dataset_files,sequence,phase,phase_ms
scale-10,init,10,1,auth.kdf_identity,1215.775
scale-10,init,10,1,init.checkpoint_publish_w2,2186.129
scale-10,init,10,1,init.cloud_head_fetch,463.089
scale-10,init,10,1,init.genesis_publish_w2,2359.524
scale-10,status,10,2,auth.kdf_identity,198.888
scale-10,status,10,2,preflight.checkpoint_evaluation,0.734
scale-10,status,10,2,preflight.cloud_head_fetch,446.178
scale-10,status,10,2,preflight.outbox_replay,0.074
scale-10,status,10,2,preflight.relay_fetch_r2,2345.006
scale-10,status,10,2,preflight.total,2800.149
scale-10,list,10,3,auth.kdf_identity,183.578
scale-10,list,10,3,preflight.checkpoint_evaluation,0.757
scale-10,list,10,3,preflight.cloud_head_fetch,1540.163
scale-10,list,10,3,preflight.outbox_replay,0.075
scale-10,list,10,3,preflight.relay_fetch_r2,2356.597
scale-10,list,10,3,preflight.total,3903.599
scale-10,tree,10,4,auth.kdf_identity,200.506
scale-10,tree,10,4,preflight.checkpoint_evaluation,0.671
scale-10,tree,10,4,preflight.cloud_head_fetch,443.943
scale-10,tree,10,4,preflight.outbox_replay,0.073
scale-10,tree,10,4,preflight.relay_fetch_r2,2395.535
scale-10,tree,10,4,preflight.total,2848.105
scale-10,cat-sample-1,10,5,auth.kdf_identity,185.056
scale-10,cat-sample-1,10,5,preflight.checkpoint_evaluation,0.675
scale-10,cat-sample-1,10,5,preflight.cloud_head_fetch,706.947
scale-10,cat-sample-1,10,5,preflight.outbox_replay,0.075
scale-10,cat-sample-1,10,5,preflight.relay_fetch_r2,2562.968
scale-10,cat-sample-1,10,5,preflight.total,3277.249
scale-10,cat-sample-1,10,5,read.blob_decrypt_verify,47.83
scale-10,cat-sample-1,10,5,read.blob_fetch,1270.741
scale-10,cat-sample-1,10,5,read.path_resolution,4495.264
scale-10,quick-scan,10,6,auth.kdf_identity,198.114
scale-10,quick-scan,10,6,preflight.checkpoint_evaluation,0.758
scale-10,quick-scan,10,6,preflight.cloud_head_fetch,551.743
scale-10,quick-scan,10,6,preflight.outbox_replay,0.082
scale-10,quick-scan,10,6,preflight.relay_fetch_r2,2394.959
scale-10,quick-scan,10,6,preflight.total,2953.39
scale-10,deep-scan,10,7,auth.kdf_identity,182.923
scale-10,deep-scan,10,7,preflight.checkpoint_evaluation,0.724
scale-10,deep-scan,10,7,preflight.cloud_head_fetch,466.14
scale-10,deep-scan,10,7,preflight.outbox_replay,0.107
scale-10,deep-scan,10,7,preflight.relay_fetch_r2,2383.005
scale-10,deep-scan,10,7,preflight.total,2857.814
