scenario,operation,dataset_files,phase,n,mean_ms,median_ms,p95_ms,p99_ms
scale-10,cat,10,auth.kdf_identity,1,194.018,194.018,194.018,194.018
scale-10,cat,10,preflight.checkpoint_evaluation,1,0.392,0.392,0.392,0.392
scale-10,cat,10,preflight.cloud_head_fetch,1,458.706,458.706,458.706,458.706
scale-10,cat,10,preflight.outbox_replay,1,0.074,0.074,0.074,0.074
scale-10,cat,10,preflight.relay_fetch_r2,1,2260.54,2260.54,2260.54,2260.54
scale-10,cat,10,preflight.total,1,2724.712,2724.712,2724.712,2724.712
scale-10,cat,10,read.blob_decrypt_verify,1,0.484,0.484,0.484,0.484
scale-10,cat,10,read.blob_fetch,1,721.621,721.621,721.621,721.621
scale-10,cat,10,read.path_resolution,1,4665.07,4665.07,4665.07,4665.07
scale-10,deep-scan,10,auth.kdf_identity,1,184.18,184.18,184.18,184.18
scale-10,deep-scan,10,preflight.checkpoint_evaluation,1,0.396,0.396,0.396,0.396
scale-10,deep-scan,10,preflight.cloud_head_fetch,1,512.605,512.605,512.605,512.605
scale-10,deep-scan,10,preflight.outbox_replay,1,0.069,0.069,0.069,0.069
scale-10,deep-scan,10,preflight.relay_fetch_r2,1,2450.342,2450.342,2450.342,2450.342
scale-10,deep-scan,10,preflight.total,1,2969.079,2969.079,2969.079,2969.079
scale-10,init,10,auth.kdf_identity,1,1533.224,1533.224,1533.224,1533.224
scale-10,init,10,init.checkpoint_publish_w2,1,2309.234,2309.234,2309.234,2309.234
scale-10,init,10,init.cloud_head_fetch,1,480.073,480.073,480.073,480.073
scale-10,init,10,init.genesis_publish_w2,1,2219.114,2219.114,2219.114,2219.114
scale-10,list,10,auth.kdf_identity,1,200.273,200.273,200.273,200.273
scale-10,list,10,preflight.checkpoint_evaluation,1,0.639,0.639,0.639,0.639
scale-10,list,10,preflight.cloud_head_fetch,1,1554.145,1554.145,1554.145,1554.145
scale-10,list,10,preflight.outbox_replay,1,0.06,0.06,0.06,0.06
scale-10,list,10,preflight.relay_fetch_r2,1,2324.615,2324.615,2324.615,2324.615
scale-10,list,10,preflight.total,1,3884.806,3884.806,3884.806,3884.806
scale-10,quick-scan,10,auth.kdf_identity,1,195.151,195.151,195.151,195.151
scale-10,quick-scan,10,preflight.checkpoint_evaluation,1,0.811,0.811,0.811,0.811
scale-10,quick-scan,10,preflight.cloud_head_fetch,1,658.7,658.7,658.7,658.7
scale-10,quick-scan,10,preflight.outbox_replay,1,0.075,0.075,0.075,0.075
scale-10,quick-scan,10,preflight.relay_fetch_r2,1,2335.411,2335.411,2335.411,2335.411
scale-10,quick-scan,10,preflight.total,1,3000.983,3000.983,3000.983,3000.983
scale-10,status,10,auth.kdf_identity,1,178.249,178.249,178.249,178.249
scale-10,status,10,preflight.checkpoint_evaluation,1,0.808,0.808,0.808,0.808
scale-10,status,10,preflight.cloud_head_fetch,1,470.804,470.804,470.804,470.804
scale-10,status,10,preflight.outbox_replay,1,0.071,0.071,0.071,0.071
scale-10,status,10,preflight.relay_fetch_r2,1,2494.742,2494.742,2494.742,2494.742
scale-10,status,10,preflight.total,1,2972.967,2972.967,2972.967,2972.967
scale-10,tree,10,auth.kdf_identity,1,186.104,186.104,186.104,186.104
scale-10,tree,10,preflight.checkpoint_evaluation,1,0.761,0.761,0.761,0.761
scale-10,tree,10,preflight.cloud_head_fetch,1,560.61,560.61,560.61,560.61
scale-10,tree,10,preflight.outbox_replay,1,0.07,0.07,0.07,0.07
scale-10,tree,10,preflight.relay_fetch_r2,1,2261.381,2261.381,2261.381,2261.381
scale-10,tree,10,preflight.total,1,2828.412,2828.412,2828.412,2828.412
