scenario,operation,dataset_files,sequence,phase,phase_ms
scale-10,init,10,1,auth.kdf_identity,1533.224
scale-10,init,10,1,init.checkpoint_publish_w2,2309.234
scale-10,init,10,1,init.cloud_head_fetch,480.073
scale-10,init,10,1,init.genesis_publish_w2,2219.114
scale-10,status,10,2,auth.kdf_identity,178.249
scale-10,status,10,2,preflight.checkpoint_evaluation,0.808
scale-10,status,10,2,preflight.cloud_head_fetch,470.804
scale-10,status,10,2,preflight.outbox_replay,0.071
scale-10,status,10,2,preflight.relay_fetch_r2,2494.742
scale-10,status,10,2,preflight.total,2972.967
scale-10,list,10,3,auth.kdf_identity,200.273
scale-10,list,10,3,preflight.checkpoint_evaluation,0.639
scale-10,list,10,3,preflight.cloud_head_fetch,1554.145
scale-10,list,10,3,preflight.outbox_replay,0.06
scale-10,list,10,3,preflight.relay_fetch_r2,2324.615
scale-10,list,10,3,preflight.total,3884.806
scale-10,tree,10,4,auth.kdf_identity,186.104
scale-10,tree,10,4,preflight.checkpoint_evaluation,0.761
scale-10,tree,10,4,preflight.cloud_head_fetch,560.61
scale-10,tree,10,4,preflight.outbox_replay,0.07
scale-10,tree,10,4,preflight.relay_fetch_r2,2261.381
scale-10,tree,10,4,preflight.total,2828.412
scale-10,cat-sample-1,10,5,auth.kdf_identity,194.018
scale-10,cat-sample-1,10,5,preflight.checkpoint_evaluation,0.392
scale-10,cat-sample-1,10,5,preflight.cloud_head_fetch,458.706
scale-10,cat-sample-1,10,5,preflight.outbox_replay,0.074
scale-10,cat-sample-1,10,5,preflight.relay_fetch_r2,2260.54
scale-10,cat-sample-1,10,5,preflight.total,2724.712
scale-10,cat-sample-1,10,5,read.blob_decrypt_verify,0.484
scale-10,cat-sample-1,10,5,read.blob_fetch,721.621
scale-10,cat-sample-1,10,5,read.path_resolution,4665.07
scale-10,quick-scan,10,6,auth.kdf_identity,195.151
scale-10,quick-scan,10,6,preflight.checkpoint_evaluation,0.811
scale-10,quick-scan,10,6,preflight.cloud_head_fetch,658.7
scale-10,quick-scan,10,6,preflight.outbox_replay,0.075
scale-10,quick-scan,10,6,preflight.relay_fetch_r2,2335.411
scale-10,quick-scan,10,6,preflight.total,3000.983
scale-10,deep-scan,10,7,auth.kdf_identity,184.18
scale-10,deep-scan,10,7,preflight.checkpoint_evaluation,0.396
scale-10,deep-scan,10,7,preflight.cloud_head_fetch,512.605
scale-10,deep-scan,10,7,preflight.outbox_replay,0.069
scale-10,deep-scan,10,7,preflight.relay_fetch_r2,2450.342
scale-10,deep-scan,10,7,preflight.total,2969.079
