operation,size_bytes,iteration,total_ms,success
init,0,1,10557.824,1
init,0,2,10759.129,1
init,0,3,9921.294,1
init,0,4,9926.059,1
init,0,5,11449.005,1
status,0,1,5322.74,1
status,0,2,3666.052,1
status,0,3,3997.763,1
status,0,4,4037.24,1
status,0,5,3903.247,1
mkdir,0,1,17222.653,1
mkdir,0,2,19397.271,1
mkdir,0,3,18585.28,1
mkdir,0,4,17848.814,1
mkdir,0,5,17293.518,1
add,8192,1,17458.244,1
cat,8192,1,6445.467,1
remove,8192,1,18177.715,1
add,8192,2,18472.424,1
cat,8192,2,7402.291,1
remove,8192,2,17970.955,1
add,8192,3,16856.787,1
cat,8192,3,6330.829,1
remove,8192,3,17681.425,1
add,8192,4,16868.247,1
cat,8192,4,8871.444,1
remove,8192,4,18475.734,1
add,8192,5,17671.126,1
cat,8192,5,6370.735,1
remove,8192,5,18322.538,1
add,1048576,1,18597.627,1
cat,1048576,1,8518.815,1
remove,1048576,1,20522.059,1
add,1048576,2,18028.387,1
cat,1048576,2,7495.438,1
remove,1048576,2,17088.525,1
add,1048576,3,17496.047,1
cat,1048576,3,6769.189,1
remove,1048576,3,18974.856,1
add,1048576,4,16380.841,1
cat,1048576,4,6855.432,1
remove,1048576,4,19839.605,1
add,1048576,5,17324.004,1
cat,1048576,5,9979.686,1
remove,1048576,5,18286.065,1
add,10485760,1,21871.154,1
cat,10485760,1,9337.728,1
remove,10485760,1,16948.043,1
add,10485760,2,19219.226,1
cat,10485760,2,9619.023,1
remove,10485760,2,18292.631,1
add,10485760,3,20474.903,1
cat,10485760,3,10774.891,1
remove,10485760,3,18945.604,1
add,10485760,4,19985.272,1
cat,10485760,4,9093.689,1
remove,10485760,4,17658.128,1
add,10485760,5,19637.218,1
cat,10485760,5,9472.784,1
remove,10485760,5,18498.638,1
