operation,size_bytes,iteration,phase,phase_ms
init,0,1,auth.kdf_identity,1173.09
init,0,1,init.checkpoint_publish_w2,1685.546
init,0,1,init.cloud_head_fetch,628.458
init,0,1,init.genesis_publish_w2,1724.284
init,0,1,init.objects_head,2843.644
init,0,2,auth.kdf_identity,2023.139
init,0,2,init.checkpoint_publish_w2,1653.917
init,0,2,init.cloud_head_fetch,523.768
init,0,2,init.genesis_publish_w2,1644.194
init,0,2,init.objects_head,2963.302
init,0,3,auth.kdf_identity,1241.758
init,0,3,init.checkpoint_publish_w2,1597.514
init,0,3,init.cloud_head_fetch,506.285
init,0,3,init.genesis_publish_w2,1659.713
init,0,3,init.objects_head,3186.402
init,0,4,auth.kdf_identity,1232.258
init,0,4,init.checkpoint_publish_w2,1639.948
init,0,4,init.cloud_head_fetch,583.664
init,0,4,init.genesis_publish_w2,1697.044
init,0,4,init.objects_head,2765.175
init,0,5,auth.kdf_identity,1906.545
init,0,5,init.checkpoint_publish_w2,1696.35
init,0,5,init.cloud_head_fetch,650.702
init,0,5,init.genesis_publish_w2,1961.081
init,0,5,init.objects_head,3463.036
status,0,1,auth.kdf_identity,176.899
status,0,1,preflight.checkpoint_evaluation,0.788
status,0,1,preflight.cloud_head_fetch,472.378
status,0,1,preflight.outbox_replay,0.078
status,0,1,preflight.relay_fetch_r2,3152.803
status,0,1,preflight.total,3632.058
status,0,2,auth.kdf_identity,179.073
status,0,2,preflight.checkpoint_evaluation,0.586
status,0,2,preflight.cloud_head_fetch,562.724
status,0,2,preflight.outbox_replay,0.073
status,0,2,preflight.relay_fetch_r2,1716.991
status,0,2,preflight.total,2285.911
status,0,3,auth.kdf_identity,198.337
status,0,3,preflight.checkpoint_evaluation,0.655
status,0,3,preflight.cloud_head_fetch,624.073
status,0,3,preflight.outbox_replay,0.074
status,0,3,preflight.relay_fetch_r2,1669.356
status,0,3,preflight.total,2300.196
status,0,4,auth.kdf_identity,201.908
status,0,4,preflight.checkpoint_evaluation,0.374
status,0,4,preflight.cloud_head_fetch,475.675
status,0,4,preflight.outbox_replay,0.08
status,0,4,preflight.relay_fetch_r2,1702.028
status,0,4,preflight.total,2181.581
status,0,5,auth.kdf_identity,195.623
status,0,5,preflight.checkpoint_evaluation,0.538
status,0,5,preflight.cloud_head_fetch,506.97
status,0,5,preflight.outbox_replay,0.068
status,0,5,preflight.relay_fetch_r2,1831.003
status,0,5,preflight.total,2343.948
mkdir,0,1,auth.kdf_identity,198.828
mkdir,0,1,commit.checkpoint_create_journal,3.182
