operation,size_bytes,n,mean_ms,median_ms,p95_ms,min_ms,max_ms
add,8192,5,17465.366,17458.244,18312.164,16856.787,18472.424
add,1048576,5,17565.381,17496.047,18483.779,16380.841,18597.627
add,10485760,5,20237.555,19985.272,21591.904,19219.226,21871.154
cat,8192,5,7084.153,6445.467,8577.613,6330.829,8871.444
cat,1048576,5,7923.712,7495.438,9687.512,6769.189,9979.686
cat,10485760,5,9659.623,9472.784,10543.717,9093.689,10774.891
init,0,5,10522.662,10557.824,11311.03,9921.294,11449.005
mkdir,0,5,18069.507,17848.814,19234.873,17222.653,19397.271
remove,8192,5,18125.673,18177.715,18445.095,17681.425,18475.734
remove,1048576,5,18942.222,18974.856,20385.568,17088.525,20522.059
remove,10485760,5,18068.609,18292.631,18856.211,16948.043,18945.604
status,0,5,4185.408,3997.763,5065.64,3666.052,5322.74
