operation,size_bytes,phase,n,mean_ms,median_ms,p95_ms
add,8192,auth.kdf_identity,5,187.135,184.756,197.624
add,8192,commit.checkpoint_create_journal,5,1.89,2.027,2.127
add,8192,commit.checkpoint_publish_w2,5,1733.236,1714.174,1838.869
add,8192,commit.cloud_head_recheck,5,450.31,454.486,509.542
add,8192,commit.dropbox_cas,5,971.691,956.696,1114.825
add,8192,commit.dropbox_readback,5,449.694,427.961,525.257
add,8192,commit.local_finalize,5,3.681,3.801,4.607
add,8192,preflight.checkpoint_evaluation,5,1.562,1.565,2.197
add,8192,preflight.cloud_head_fetch,5,2104.366,2457.06,2614.557
add,8192,preflight.outbox_replay,5,0.265,0.262,0.335
add,8192,preflight.relay_fetch_r2,5,5160.249,5200.002,5270.133
add,8192,write.cas_checkpoint_finalize,5,8142.18,7934.107,8709.027
add,8192,write.head_journal,5,1.561,1.625,1.82
add,8192,write.object_prepare_upload,5,3665.848,3647.677,4055.779
add,8192,write.preflight,5,2746.828,2444.156,3378.189
add,1048576,auth.kdf_identity,5,191.428,191.213,199.694
add,1048576,commit.checkpoint_create_journal,5,2.048,1.885,2.777
add,1048576,commit.checkpoint_publish_w2,5,1683.855,1605.814,1827.795
add,1048576,commit.cloud_head_recheck,5,832.695,501.222,1409.048
add,1048576,commit.dropbox_cas,5,1095.172,950.734,1625.964
add,1048576,commit.dropbox_readback,5,637.844,397.551,1239.339
add,1048576,commit.local_finalize,5,3.411,3.955,4.446
add,1048576,preflight.checkpoint_evaluation,5,1.575,1.372,2.088
add,1048576,preflight.cloud_head_fetch,5,1566.764,1353.376,2298.822
add,1048576,preflight.outbox_replay,5,0.252,0.274,0.285
add,1048576,preflight.relay_fetch_r2,5,5402.654,5332.211,6026.744
add,1048576,write.cas_checkpoint_finalize,5,8575.262,8605.329,9482.628
add,1048576,write.head_journal,5,1.424,1.367,1.794
add,1048576,write.object_prepare_upload,5,3629.993,3272.962,4272.723
add,1048576,write.preflight,5,2663.496,2390.274,3296.031
add,10485760,auth.kdf_identity,5,187.246,188.267,194.001
add,10485760,commit.checkpoint_create_journal,5,1.74,1.685,1.909
add,10485760,commit.checkpoint_publish_w2,5,1795.655,1691.853,2127.629
