scenario,operation,dataset_files,phase,n,mean_ms,median_ms,p95_ms,p99_ms
scale-20,cat,20,auth.kdf_identity,1,196.392,196.392,196.392,196.392
scale-20,cat,20,preflight.checkpoint_evaluation,1,0.825,0.825,0.825,0.825
scale-20,cat,20,preflight.cloud_head_fetch,1,450.634,450.634,450.634,450.634
scale-20,cat,20,preflight.outbox_replay,1,0.087,0.087,0.087,0.087
scale-20,cat,20,preflight.relay_fetch_r2,1,2401.128,2401.128,2401.128,2401.128
scale-20,cat,20,preflight.total,1,2859.531,2859.531,2859.531,2859.531
scale-20,cat,20,read.blob_decrypt_verify,1,0.295,0.295,0.295,0.295
scale-20,cat,20,read.blob_fetch,1,653.865,653.865,653.865,653.865
scale-20,cat,20,read.path_resolution,1,5293.958,5293.958,5293.958,5293.958
scale-20,deep-scan,20,auth.kdf_identity,1,193.989,193.989,193.989,193.989
scale-20,deep-scan,20,preflight.checkpoint_evaluation,1,0.716,0.716,0.716,0.716
scale-20,deep-scan,20,preflight.cloud_head_fetch,1,680.959,680.959,680.959,680.959
scale-20,deep-scan,20,preflight.outbox_replay,1,0.114,0.114,0.114,0.114
scale-20,deep-scan,20,preflight.relay_fetch_r2,1,2286.031,2286.031,2286.031,2286.031
scale-20,deep-scan,20,preflight.total,1,2973.952,2973.952,2973.952,2973.952
scale-20,init,20,auth.kdf_identity,1,1335.367,1335.367,1335.367,1335.367
scale-20,init,20,init.checkpoint_publish_w2,1,2281.732,2281.732,2281.732,2281.732
scale-20,init,20,init.cloud_head_fetch,1,483.083,483.083,483.083,483.083
scale-20,init,20,init.genesis_publish_w2,1,2456.398,2456.398,2456.398,2456.398
scale-20,list,20,auth.kdf_identity,1,191.299,191.299,191.299,191.299
scale-20,list,20,preflight.checkpoint_evaluation,1,1.359,1.359,1.359,1.359
scale-20,list,20,preflight.cloud_head_fetch,1,497.16,497.16,497.16,497.16
scale-20,list,20,preflight.outbox_replay,1,0.063,0.063,0.063,0.063
scale-20,list,20,preflight.relay_fetch_r2,1,2340.419,2340.419,2340.419,2340.419
scale-20,list,20,preflight.total,1,2845.867,2845.867,2845.867,2845.867
scale-20,quick-scan,20,auth.kdf_identity,1,194.518,194.518,194.518,194.518
scale-20,quick-scan,20,preflight.checkpoint_evaluation,1,0.711,0.711,0.711,0.711
scale-20,quick-scan,20,preflight.cloud_head_fetch,1,595.407,595.407,595.407,595.407
scale-20,quick-scan,20,preflight.outbox_replay,1,0.075,0.075,0.075,0.075
scale-20,quick-scan,20,preflight.relay_fetch_r2,1,3416.725,3416.725,3416.725,3416.725
scale-20,quick-scan,20,preflight.total,1,4018.754,4018.754,4018.754,4018.754
scale-20,status,20,auth.kdf_identity,1,196.371,196.371,196.371,196.371
scale-20,status,20,preflight.checkpoint_evaluation,1,0.701,0.701,0.701,0.701
scale-20,status,20,preflight.cloud_head_fetch,1,486.54,486.54,486.54,486.54
scale-20,status,20,preflight.outbox_replay,1,0.078,0.078,0.078,0.078
scale-20,status,20,preflight.relay_fetch_r2,1,2316.42,2316.42,2316.42,2316.42
scale-20,status,20,preflight.total,1,2809.503,2809.503,2809.503,2809.503
scale-20,tree,20,auth.kdf_identity,1,183.558,183.558,183.558,183.558
scale-20,tree,20,preflight.checkpoint_evaluation,1,0.85,0.85,0.85,0.85
scale-20,tree,20,preflight.cloud_head_fetch,1,500.042,500.042,500.042,500.042
scale-20,tree,20,preflight.outbox_replay,1,0.072,0.072,0.072,0.072
scale-20,tree,20,preflight.relay_fetch_r2,1,2288.535,2288.535,2288.535,2288.535
scale-20,tree,20,preflight.total,1,2795.726,2795.726,2795.726,2795.726
