scenario,operation,dataset_files,sequence,phase,phase_ms
scale-20,init,20,1,auth.kdf_identity,1335.367
scale-20,init,20,1,init.checkpoint_publish_w2,2281.732
scale-20,init,20,1,init.cloud_head_fetch,483.083
scale-20,init,20,1,init.genesis_publish_w2,2456.398
scale-20,status,20,2,auth.kdf_identity,196.371
scale-20,status,20,2,preflight.checkpoint_evaluation,0.701
scale-20,status,20,2,preflight.cloud_head_fetch,486.54
scale-20,status,20,2,preflight.outbox_replay,0.078
scale-20,status,20,2,preflight.relay_fetch_r2,2316.42
scale-20,status,20,2,preflight.total,2809.503
scale-20,list,20,3,auth.kdf_identity,191.299
scale-20,list,20,3,preflight.checkpoint_evaluation,1.359
scale-20,list,20,3,preflight.cloud_head_fetch,497.16
scale-20,list,20,3,preflight.outbox_replay,0.063
scale-20,list,20,3,preflight.relay_fetch_r2,2340.419
scale-20,list,20,3,preflight.total,2845.867
scale-20,tree,20,4,auth.kdf_identity,183.558
scale-20,tree,20,4,preflight.checkpoint_evaluation,0.85
scale-20,tree,20,4,preflight.cloud_head_fetch,500.042
scale-20,tree,20,4,preflight.outbox_replay,0.072
scale-20,tree,20,4,preflight.relay_fetch_r2,2288.535
scale-20,tree,20,4,preflight.total,2795.726
scale-20,cat-sample-1,20,5,auth.kdf_identity,196.392
scale-20,cat-sample-1,20,5,preflight.checkpoint_evaluation,0.825
scale-20,cat-sample-1,20,5,preflight.cloud_head_fetch,450.634
scale-20,cat-sample-1,20,5,preflight.outbox_replay,0.087
scale-20,cat-sample-1,20,5,preflight.relay_fetch_r2,2401.128
scale-20,cat-sample-1,20,5,preflight.total,2859.531
scale-20,cat-sample-1,20,5,read.blob_decrypt_verify,0.295
scale-20,cat-sample-1,20,5,read.blob_fetch,653.865
scale-20,cat-sample-1,20,5,read.path_resolution,5293.958
scale-20,quick-scan,20,6,auth.kdf_identity,194.518
scale-20,quick-scan,20,6,preflight.checkpoint_evaluation,0.711
scale-20,quick-scan,20,6,preflight.cloud_head_fetch,595.407
scale-20,quick-scan,20,6,preflight.outbox_replay,0.075
scale-20,quick-scan,20,6,preflight.relay_fetch_r2,3416.725
scale-20,quick-scan,20,6,preflight.total,4018.754
scale-20,deep-scan,20,7,auth.kdf_identity,193.989
scale-20,deep-scan,20,7,preflight.checkpoint_evaluation,0.716
scale-20,deep-scan,20,7,preflight.cloud_head_fetch,680.959
scale-20,deep-scan,20,7,preflight.outbox_replay,0.114
scale-20,deep-scan,20,7,preflight.relay_fetch_r2,2286.031
scale-20,deep-scan,20,7,preflight.total,2973.952
