scenario,operation,dataset_files,phase,n,mean_ms,median_ms,p95_ms,p99_ms
scale-20,cat,20,auth.kdf_identity,1,190.152,190.152,190.152,190.152
scale-20,cat,20,preflight.checkpoint_evaluation,1,0.712,0.712,0.712,0.712
scale-20,cat,20,preflight.cloud_head_fetch,1,558.96,558.96,558.96,558.96
scale-20,cat,20,preflight.outbox_replay,1,0.072,0.072,0.072,0.072
scale-20,cat,20,preflight.relay_fetch_r2,1,4135.5,4135.5,4135.5,4135.5
scale-20,cat,20,preflight.total,1,4700.899,4700.899,4700.899,4700.899
scale-20,cat,20,read.blob_decrypt_verify,1,0.171,0.171,0.171,0.171
scale-20,cat,20,read.blob_fetch,1,913.849,913.849,913.849,913.849
scale-20,cat,20,read.path_resolution,1,4827.962,4827.962,4827.962,4827.962
scale-20,deep-scan,20,auth.kdf_identity,1,193.278,193.278,193.278,193.278
scale-20,deep-scan,20,preflight.checkpoint_evaluation,1,0.9,0.9,0.9,0.9
scale-20,deep-scan,20,preflight.cloud_head_fetch,1,530.432,530.432,530.432,530.432
scale-20,deep-scan,20,preflight.outbox_replay,1,0.084,0.084,0.084,0.084
scale-20,deep-scan,20,preflight.relay_fetch_r2,1,2419.888,2419.888,2419.888,2419.888
scale-20,deep-scan,20,preflight.total,1,2958.7,2958.7,2958.7,2958.7
scale-20,init,20,auth.kdf_identity,1,1205.966,1205.966,1205.966,1205.966
scale-20,init,20,init.checkpoint_publish_w2,1,2773.307,2773.307,2773.307,2773.307
scale-20,init,20,init.cloud_head_fetch,1,1736.774,1736.774,1736.774,1736.774
scale-20,init,20,init.genesis_publish_w2,1,2419.417,2419.417,2419.417,2419.417
scale-20,list,20,auth.kdf_identity,1,184.738,184.738,184.738,184.738
scale-20,list,20,preflight.checkpoint_evaluation,1,0.786,0.786,0.786,0.786
scale-20,list,20,preflight.cloud_head_fetch,1,581.619,581.619,581.619,581.619
scale-20,list,20,preflight.outbox_replay,1,0.078,0.078,0.078,0.078
scale-20,list,20,preflight.relay_fetch_r2,1,2318.961,2318.961,2318.961,2318.961
scale-20,list,20,preflight.total,1,2907.124,2907.124,2907.124,2907.124
scale-20,quick-scan,20,auth.kdf_identity,1,189.723,189.723,189.723,189.723
scale-20,quick-scan,20,preflight.checkpoint_evaluation,1,0.753,0.753,0.753,0.753
scale-20,quick-scan,20,preflight.cloud_head_fetch,1,535.67,535.67,535.67,535.67
scale-20,quick-scan,20,preflight.outbox_replay,1,0.071,0.071,0.071,0.071
scale-20,quick-scan,20,preflight.relay_fetch_r2,1,2407.814,2407.814,2407.814,2407.814
scale-20,quick-scan,20,preflight.total,1,2950.342,2950.342,2950.342,2950.342
scale-20,status,20,auth.kdf_identity,1,200.733,200.733,200.733,200.733
scale-20,status,20,preflight.checkpoint_evaluation,1,0.734,0.734,0.734,0.734
scale-20,status,20,preflight.cloud_head_fetch,1,511.256,511.256,511.256,511.256
scale-20,status,20,preflight.outbox_replay,1,0.069,0.069,0.069,0.069
scale-20,status,20,preflight.relay_fetch_r2,1,2396.828,2396.828,2396.828,2396.828
scale-20,status,20,preflight.total,1,2926.091,2926.091,2926.091,2926.091
scale-20,tree,20,auth.kdf_identity,1,194.237,194.237,194.237,194.237
scale-20,tree,20,preflight.checkpoint_evaluation,1,0.762,0.762,0.762,0.762
scale-20,tree,20,preflight.cloud_head_fetch,1,503.839,503.839,503.839,503.839
scale-20,tree,20,preflight.outbox_replay,1,0.073,0.073,0.073,0.073
scale-20,tree,20,preflight.relay_fetch_r2,1,2525.439,2525.439,2525.439,2525.439
scale-20,tree,20,preflight.total,1,3036.385,3036.385,3036.385,3036.385
