scenario,operation,dataset_files,sequence,phase,phase_ms
scale-20,init,20,1,auth.kdf_identity,1205.966
scale-20,init,20,1,init.checkpoint_publish_w2,2773.307
scale-20,init,20,1,init.cloud_head_fetch,1736.774
scale-20,init,20,1,init.genesis_publish_w2,2419.417
scale-20,status,20,2,auth.kdf_identity,200.733
scale-20,status,20,2,preflight.checkpoint_evaluation,0.734
scale-20,status,20,2,preflight.cloud_head_fetch,511.256
scale-20,status,20,2,preflight.outbox_replay,0.069
scale-20,status,20,2,preflight.relay_fetch_r2,2396.828
scale-20,status,20,2,preflight.total,2926.091
scale-20,list,20,3,auth.kdf_identity,184.738
scale-20,list,20,3,preflight.checkpoint_evaluation,0.786
scale-20,list,20,3,preflight.cloud_head_fetch,581.619
scale-20,list,20,3,preflight.outbox_replay,0.078
scale-20,list,20,3,preflight.relay_fetch_r2,2318.961
scale-20,list,20,3,preflight.total,2907.124
scale-20,tree,20,4,auth.kdf_identity,194.237
scale-20,tree,20,4,preflight.checkpoint_evaluation,0.762
scale-20,tree,20,4,preflight.cloud_head_fetch,503.839
scale-20,tree,20,4,preflight.outbox_replay,0.073
scale-20,tree,20,4,preflight.relay_fetch_r2,2525.439
scale-20,tree,20,4,preflight.total,3036.385
scale-20,cat-sample-1,20,5,auth.kdf_identity,190.152
scale-20,cat-sample-1,20,5,preflight.checkpoint_evaluation,0.712
scale-20,cat-sample-1,20,5,preflight.cloud_head_fetch,558.96
scale-20,cat-sample-1,20,5,preflight.outbox_replay,0.072
scale-20,cat-sample-1,20,5,preflight.relay_fetch_r2,4135.5
scale-20,cat-sample-1,20,5,preflight.total,4700.899
scale-20,cat-sample-1,20,5,read.blob_decrypt_verify,0.171
scale-20,cat-sample-1,20,5,read.blob_fetch,913.849
scale-20,cat-sample-1,20,5,read.path_resolution,4827.962
scale-20,quick-scan,20,6,auth.kdf_identity,189.723
scale-20,quick-scan,20,6,preflight.checkpoint_evaluation,0.753
scale-20,quick-scan,20,6,preflight.cloud_head_fetch,535.67
scale-20,quick-scan,20,6,preflight.outbox_replay,0.071
scale-20,quick-scan,20,6,preflight.relay_fetch_r2,2407.814
scale-20,quick-scan,20,6,preflight.total,2950.342
scale-20,deep-scan,20,7,auth.kdf_identity,193.278
scale-20,deep-scan,20,7,preflight.checkpoint_evaluation,0.9
scale-20,deep-scan,20,7,preflight.cloud_head_fetch,530.432
scale-20,deep-scan,20,7,preflight.outbox_replay,0.084
scale-20,deep-scan,20,7,preflight.relay_fetch_r2,2419.888
scale-20,deep-scan,20,7,preflight.total,2958.7
