scenario,operation,dataset_files,phase,n,mean_ms,median_ms,p95_ms,p99_ms
scale-20,cat,20,auth.kdf_identity,1,198.847,198.847,198.847,198.847
scale-20,cat,20,preflight.checkpoint_evaluation,1,0.947,0.947,0.947,0.947
scale-20,cat,20,preflight.cloud_head_fetch,1,433.619,433.619,433.619,433.619
scale-20,cat,20,preflight.outbox_replay,1,0.086,0.086,0.086,0.086
scale-20,cat,20,preflight.relay_fetch_r2,1,2391.85,2391.85,2391.85,2391.85
scale-20,cat,20,preflight.total,1,2833.444,2833.444,2833.444,2833.444
scale-20,cat,20,read.blob_decrypt_verify,1,0.386,0.386,0.386,0.386
scale-20,cat,20,read.blob_fetch,1,615.309,615.309,615.309,615.309
scale-20,cat,20,read.path_resolution,1,5036.523,5036.523,5036.523,5036.523
scale-20,deep-scan,20,auth.kdf_identity,1,197.73,197.73,197.73,197.73
scale-20,deep-scan,20,preflight.checkpoint_evaluation,1,0.777,0.777,0.777,0.777
scale-20,deep-scan,20,preflight.cloud_head_fetch,1,499.022,499.022,499.022,499.022
scale-20,deep-scan,20,preflight.outbox_replay,1,0.101,0.101,0.101,0.101
scale-20,deep-scan,20,preflight.relay_fetch_r2,1,2367.425,2367.425,2367.425,2367.425
scale-20,deep-scan,20,preflight.total,1,2873.058,2873.058,2873.058,2873.058
scale-20,init,20,auth.kdf_identity,1,1415.987,1415.987,1415.987,1415.987
scale-20,init,20,init.checkpoint_publish_w2,1,2159.282,2159.282,2159.282,2159.282
scale-20,init,20,init.cloud_head_fetch,1,469.759,469.759,469.759,469.759
scale-20,init,20,init.genesis_publish_w2,1,2169.218,2169.218,2169.218,2169.218
scale-20,list,20,auth.kdf_identity,1,187.586,187.586,187.586,187.586
scale-20,list,20,preflight.checkpoint_evaluation,1,0.632,0.632,0.632,0.632
scale-20,list,20,preflight.cloud_head_fetch,1,463.404,463.404,463.404,463.404
scale-20,list,20,preflight.outbox_replay,1,0.076,0.076,0.076,0.076
scale-20,list,20,preflight.relay_fetch_r2,1,2631.455,2631.455,2631.455,2631.455
scale-20,list,20,preflight.total,1,3100.531,3100.531,3100.531,3100.531
scale-20,quick-scan,20,auth.kdf_identity,1,176.709,176.709,176.709,176.709
scale-20,quick-scan,20,preflight.checkpoint_evaluation,1,0.783,0.783,0.783,0.783
scale-20,quick-scan,20,preflight.cloud_head_fetch,1,441.892,441.892,441.892,441.892
scale-20,quick-scan,20,preflight.outbox_replay,1,0.08,0.08,0.08,0.08
scale-20,quick-scan,20,preflight.relay_fetch_r2,1,2316.457,2316.457,2316.457,2316.457
scale-20,quick-scan,20,preflight.total,1,2764.695,2764.695,2764.695,2764.695
scale-20,status,20,auth.kdf_identity,1,197.224,197.224,197.224,197.224
scale-20,status,20,preflight.checkpoint_evaluation,1,0.87,0.87,0.87,0.87
scale-20,status,20,preflight.cloud_head_fetch,1,487.489,487.489,487.489,487.489
scale-20,status,20,preflight.outbox_replay,1,0.064,0.064,0.064,0.064
scale-20,status,20,preflight.relay_fetch_r2,1,3533.758,3533.758,3533.758,3533.758
scale-20,status,20,preflight.total,1,4028.107,4028.107,4028.107,4028.107
scale-20,tree,20,auth.kdf_identity,1,181.129,181.129,181.129,181.129
scale-20,tree,20,preflight.checkpoint_evaluation,1,0.959,0.959,0.959,0.959
scale-20,tree,20,preflight.cloud_head_fetch,1,1533.858,1533.858,1533.858,1533.858
scale-20,tree,20,preflight.outbox_replay,1,0.061,0.061,0.061,0.061
scale-20,tree,20,preflight.relay_fetch_r2,1,2425.397,2425.397,2425.397,2425.397
scale-20,tree,20,preflight.total,1,3967.393,3967.393,3967.393,3967.393
