scenario,operation,dataset_files,sequence,phase,phase_ms
scale-20,init,20,1,auth.kdf_identity,1415.987
scale-20,init,20,1,init.checkpoint_publish_w2,2159.282
scale-20,init,20,1,init.cloud_head_fetch,469.759
scale-20,init,20,1,init.genesis_publish_w2,2169.218
scale-20,status,20,2,auth.kdf_identity,197.224
scale-20,status,20,2,preflight.checkpoint_evaluation,0.87
scale-20,status,20,2,preflight.cloud_head_fetch,487.489
scale-20,status,20,2,preflight.outbox_replay,0.064
scale-20,status,20,2,preflight.relay_fetch_r2,3533.758
scale-20,status,20,2,preflight.total,4028.107
scale-20,list,20,3,auth.kdf_identity,187.586
scale-20,list,20,3,preflight.checkpoint_evaluation,0.632
scale-20,list,20,3,preflight.cloud_head_fetch,463.404
scale-20,list,20,3,preflight.outbox_replay,0.076
scale-20,list,20,3,preflight.relay_fetch_r2,2631.455
scale-20,list,20,3,preflight.total,3100.531
scale-20,tree,20,4,auth.kdf_identity,181.129
scale-20,tree,20,4,preflight.checkpoint_evaluation,0.959
scale-20,tree,20,4,preflight.cloud_head_fetch,1533.858
scale-20,tree,20,4,preflight.outbox_replay,0.061
scale-20,tree,20,4,preflight.relay_fetch_r2,2425.397
scale-20,tree,20,4,preflight.total,3967.393
scale-20,cat-sample-1,20,5,auth.kdf_identity,198.847
scale-20,cat-sample-1,20,5,preflight.checkpoint_evaluation,0.947
scale-20,cat-sample-1,20,5,preflight.cloud_head_fetch,433.619
scale-20,cat-sample-1,20,5,preflight.outbox_replay,0.086
scale-20,cat-sample-1,20,5,preflight.relay_fetch_r2,2391.85
scale-20,cat-sample-1,20,5,preflight.total,2833.444
scale-20,cat-sample-1,20,5,read.blob_decrypt_verify,0.386
scale-20,cat-sample-1,20,5,read.blob_fetch,615.309
scale-20,cat-sample-1,20,5,read.path_resolution,5036.523
scale-20,quick-scan,20,6,auth.kdf_identity,176.709
scale-20,quick-scan,20,6,preflight.checkpoint_evaluation,0.783
scale-20,quick-scan,20,6,preflight.cloud_head_fetch,441.892
scale-20,quick-scan,20,6,preflight.outbox_replay,0.08
scale-20,quick-scan,20,6,preflight.relay_fetch_r2,2316.457
scale-20,quick-scan,20,6,preflight.total,2764.695
scale-20,deep-scan,20,7,auth.kdf_identity,197.73
scale-20,deep-scan,20,7,preflight.checkpoint_evaluation,0.777
scale-20,deep-scan,20,7,preflight.cloud_head_fetch,499.022
scale-20,deep-scan,20,7,preflight.outbox_replay,0.101
scale-20,deep-scan,20,7,preflight.relay_fetch_r2,2367.425
scale-20,deep-scan,20,7,preflight.total,2873.058
