scenario,operation,dataset_files,phase,n,mean_ms,median_ms,p95_ms,p99_ms
scale-10,cat,10,auth.kdf_identity,1,192.789,192.789,192.789,192.789
scale-10,cat,10,preflight.checkpoint_evaluation,1,0.748,0.748,0.748,0.748
scale-10,cat,10,preflight.cloud_head_fetch,1,458.633,458.633,458.633,458.633
scale-10,cat,10,preflight.outbox_replay,1,0.085,0.085,0.085,0.085
scale-10,cat,10,preflight.relay_fetch_r2,1,2731.078,2731.078,2731.078,2731.078
scale-10,cat,10,preflight.total,1,3196.392,3196.392,3196.392,3196.392
scale-10,cat,10,read.blob_decrypt_verify,1,4.955,4.955,4.955,4.955
scale-10,cat,10,read.blob_fetch,1,2455.971,2455.971,2455.971,2455.971
scale-10,cat,10,read.path_resolution,1,3818.842,3818.842,3818.842,3818.842
scale-10,deep-scan,10,auth.kdf_identity,1,180.985,180.985,180.985,180.985
scale-10,deep-scan,10,preflight.checkpoint_evaluation,1,0.767,0.767,0.767,0.767
scale-10,deep-scan,10,preflight.cloud_head_fetch,1,1612.521,1612.521,1612.521,1612.521
scale-10,deep-scan,10,preflight.outbox_replay,1,0.094,0.094,0.094,0.094
scale-10,deep-scan,10,preflight.relay_fetch_r2,1,2248.36,2248.36,2248.36,2248.36
scale-10,deep-scan,10,preflight.total,1,3868.213,3868.213,3868.213,3868.213
scale-10,init,10,auth.kdf_identity,1,1364.494,1364.494,1364.494,1364.494
scale-10,init,10,init.checkpoint_publish_w2,1,2405.005,2405.005,2405.005,2405.005
scale-10,init,10,init.cloud_head_fetch,1,542.339,542.339,542.339,542.339
scale-10,init,10,init.genesis_publish_w2,1,2458.99,2458.99,2458.99,2458.99
scale-10,list,10,auth.kdf_identity,1,182.84,182.84,182.84,182.84
scale-10,list,10,preflight.checkpoint_evaluation,1,0.702,0.702,0.702,0.702
scale-10,list,10,preflight.cloud_head_fetch,1,521.341,521.341,521.341,521.341
scale-10,list,10,preflight.outbox_replay,1,0.069,0.069,0.069,0.069
scale-10,list,10,preflight.relay_fetch_r2,1,3677.899,3677.899,3677.899,3677.899
scale-10,list,10,preflight.total,1,4205.965,4205.965,4205.965,4205.965
scale-10,quick-scan,10,auth.kdf_identity,1,178.497,178.497,178.497,178.497
scale-10,quick-scan,10,preflight.checkpoint_evaluation,1,0.807,0.807,0.807,0.807
scale-10,quick-scan,10,preflight.cloud_head_fetch,1,462.84,462.84,462.84,462.84
scale-10,quick-scan,10,preflight.outbox_replay,1,0.083,0.083,0.083,0.083
scale-10,quick-scan,10,preflight.relay_fetch_r2,1,2348.98,2348.98,2348.98,2348.98
scale-10,quick-scan,10,preflight.total,1,2819.066,2819.066,2819.066,2819.066
scale-10,status,10,auth.kdf_identity,1,199.507,199.507,199.507,199.507
scale-10,status,10,preflight.checkpoint_evaluation,1,0.265,0.265,0.265,0.265
scale-10,status,10,preflight.cloud_head_fetch,1,467.679,467.679,467.679,467.679
scale-10,status,10,preflight.outbox_replay,1,0.076,0.076,0.076,0.076
scale-10,status,10,preflight.relay_fetch_r2,1,2241.722,2241.722,2241.722,2241.722
scale-10,status,10,preflight.total,1,2711.728,2711.728,2711.728,2711.728
scale-10,tree,10,auth.kdf_identity,1,193.296,193.296,193.296,193.296
scale-10,tree,10,preflight.checkpoint_evaluation,1,0.73,0.73,0.73,0.73
scale-10,tree,10,preflight.cloud_head_fetch,1,547.652,547.652,547.652,547.652
scale-10,tree,10,preflight.outbox_replay,1,0.076,0.076,0.076,0.076
scale-10,tree,10,preflight.relay_fetch_r2,1,2293.2,2293.2,2293.2,2293.2
scale-10,tree,10,preflight.total,1,2847.954,2847.954,2847.954,2847.954
