scenario,operation,dataset_files,sequence,phase,phase_ms
scale-10,init,10,1,auth.kdf_identity,1364.494
scale-10,init,10,1,init.checkpoint_publish_w2,2405.005
scale-10,init,10,1,init.cloud_head_fetch,542.339
scale-10,init,10,1,init.genesis_publish_w2,2458.99
scale-10,status,10,2,auth.kdf_identity,199.507
scale-10,status,10,2,preflight.checkpoint_evaluation,0.265
scale-10,status,10,2,preflight.cloud_head_fetch,467.679
scale-10,status,10,2,preflight.outbox_replay,0.076
scale-10,status,10,2,preflight.relay_fetch_r2,2241.722
scale-10,status,10,2,preflight.total,2711.728
scale-10,list,10,3,auth.kdf_identity,182.84
scale-10,list,10,3,preflight.checkpoint_evaluation,0.702
scale-10,list,10,3,preflight.cloud_head_fetch,521.341
scale-10,list,10,3,preflight.outbox_replay,0.069
scale-10,list,10,3,preflight.relay_fetch_r2,3677.899
scale-10,list,10,3,preflight.total,4205.965
scale-10,tree,10,4,auth.kdf_identity,193.296
scale-10,tree,10,4,preflight.checkpoint_evaluation,0.73
scale-10,tree,10,4,preflight.cloud_head_fetch,547.652
scale-10,tree,10,4,preflight.outbox_replay,0.076
scale-10,tree,10,4,preflight.relay_fetch_r2,2293.2
scale-10,tree,10,4,preflight.total,2847.954
scale-10,cat-sample-1,10,5,auth.kdf_identity,192.789
scale-10,cat-sample-1,10,5,preflight.checkpoint_evaluation,0.748
scale-10,cat-sample-1,10,5,preflight.cloud_head_fetch,458.633
scale-10,cat-sample-1,10,5,preflight.outbox_replay,0.085
scale-10,cat-sample-1,10,5,preflight.relay_fetch_r2,2731.078
scale-10,cat-sample-1,10,5,preflight.total,3196.392
scale-10,cat-sample-1,10,5,read.blob_decrypt_verify,4.955
scale-10,cat-sample-1,10,5,read.blob_fetch,2455.971
scale-10,cat-sample-1,10,5,read.path_resolution,3818.842
scale-10,quick-scan,10,6,auth.kdf_identity,178.497
scale-10,quick-scan,10,6,preflight.checkpoint_evaluation,0.807
scale-10,quick-scan,10,6,preflight.cloud_head_fetch,462.84
scale-10,quick-scan,10,6,preflight.outbox_replay,0.083
scale-10,quick-scan,10,6,preflight.relay_fetch_r2,2348.98
scale-10,quick-scan,10,6,preflight.total,2819.066
scale-10,deep-scan,10,7,auth.kdf_identity,180.985
scale-10,deep-scan,10,7,preflight.checkpoint_evaluation,0.767
scale-10,deep-scan,10,7,preflight.cloud_head_fetch,1612.521
scale-10,deep-scan,10,7,preflight.outbox_replay,0.094
scale-10,deep-scan,10,7,preflight.relay_fetch_r2,2248.36
scale-10,deep-scan,10,7,preflight.total,3868.213
