scenario,operation,dataset_files,phase,n,mean_ms,median_ms,p95_ms,p99_ms
scale-10,cat,10,auth.kdf_identity,1,185.5,185.5,185.5,185.5
scale-10,cat,10,preflight.checkpoint_evaluation,1,0.883,0.883,0.883,0.883
scale-10,cat,10,preflight.cloud_head_fetch,1,584.733,584.733,584.733,584.733
scale-10,cat,10,preflight.outbox_replay,1,0.072,0.072,0.072,0.072
scale-10,cat,10,preflight.relay_fetch_r2,1,2621.823,2621.823,2621.823,2621.823
scale-10,cat,10,preflight.total,1,3217.024,3217.024,3217.024,3217.024
scale-10,cat,10,read.blob_decrypt_verify,1,47.001,47.001,47.001,47.001
scale-10,cat,10,read.blob_fetch,1,1350.734,1350.734,1350.734,1350.734
scale-10,cat,10,read.path_resolution,1,4571.576,4571.576,4571.576,4571.576
scale-10,deep-scan,10,auth.kdf_identity,1,202.527,202.527,202.527,202.527
scale-10,deep-scan,10,preflight.checkpoint_evaluation,1,0.743,0.743,0.743,0.743
scale-10,deep-scan,10,preflight.cloud_head_fetch,1,498.887,498.887,498.887,498.887
scale-10,deep-scan,10,preflight.outbox_replay,1,0.069,0.069,0.069,0.069
scale-10,deep-scan,10,preflight.relay_fetch_r2,1,2696.621,2696.621,2696.621,2696.621
scale-10,deep-scan,10,preflight.total,1,3202.584,3202.584,3202.584,3202.584
scale-10,init,10,auth.kdf_identity,1,1329.198,1329.198,1329.198,1329.198
scale-10,init,10,init.checkpoint_publish_w2,1,2418.216,2418.216,2418.216,2418.216
scale-10,init,10,init.cloud_head_fetch,1,749.733,749.733,749.733,749.733
scale-10,init,10,init.genesis_publish_w2,1,2140.108,2140.108,2140.108,2140.108
scale-10,list,10,auth.kdf_identity,1,198.523,198.523,198.523,198.523
scale-10,list,10,preflight.checkpoint_evaluation,1,0.759,0.759,0.759,0.759
scale-10,list,10,preflight.cloud_head_fetch,1,454.377,454.377,454.377,454.377
scale-10,list,10,preflight.outbox_replay,1,0.071,0.071,0.071,0.071
scale-10,list,10,preflight.relay_fetch_r2,1,2622.613,2622.613,2622.613,2622.613
scale-10,list,10,preflight.total,1,3083.87,3083.87,3083.87,3083.87
scale-10,quick-scan,10,auth.kdf_identity,1,185.926,185.926,185.926,185.926
scale-10,quick-scan,10,preflight.checkpoint_evaluation,1,0.462,0.462,0.462,0.462
scale-10,quick-scan,10,preflight.cloud_head_fetch,1,654.361,654.361,654.361,654.361
scale-10,quick-scan,10,preflight.outbox_replay,1,0.07,0.07,0.07,0.07
scale-10,quick-scan,10,preflight.relay_fetch_r2,1,2419.479,2419.479,2419.479,2419.479
scale-10,quick-scan,10,preflight.total,1,3078.626,3078.626,3078.626,3078.626
scale-10,status,10,auth.kdf_identity,1,199.314,199.314,199.314,199.314
scale-10,status,10,preflight.checkpoint_evaluation,1,0.764,0.764,0.764,0.764
scale-10,status,10,preflight.cloud_head_fetch,1,500.164,500.164,500.164,500.164
scale-10,status,10,preflight.outbox_replay,1,0.069,0.069,0.069,0.069
scale-10,status,10,preflight.relay_fetch_r2,1,2436.389,2436.389,2436.389,2436.389
scale-10,status,10,preflight.total,1,2943.388,2943.388,2943.388,2943.388
scale-10,tree,10,auth.kdf_identity,1,184.991,184.991,184.991,184.991
scale-10,tree,10,preflight.checkpoint_evaluation,1,0.726,0.726,0.726,0.726
scale-10,tree,10,preflight.cloud_head_fetch,1,724.619,724.619,724.619,724.619
scale-10,tree,10,preflight.outbox_replay,1,0.071,0.071,0.071,0.071
scale-10,tree,10,preflight.relay_fetch_r2,1,2359.404,2359.404,2359.404,2359.404
scale-10,tree,10,preflight.total,1,3092.724,3092.724,3092.724,3092.724
