scenario,operation,dataset_files,sequence,phase,phase_ms
scale-10,init,10,1,auth.kdf_identity,1329.198
scale-10,init,10,1,init.checkpoint_publish_w2,2418.216
scale-10,init,10,1,init.cloud_head_fetch,749.733
scale-10,init,10,1,init.genesis_publish_w2,2140.108
scale-10,status,10,2,auth.kdf_identity,199.314
scale-10,status,10,2,preflight.checkpoint_evaluation,0.764
scale-10,status,10,2,preflight.cloud_head_fetch,500.164
scale-10,status,10,2,preflight.outbox_replay,0.069
scale-10,status,10,2,preflight.relay_fetch_r2,2436.389
scale-10,status,10,2,preflight.total,2943.388
scale-10,list,10,3,auth.kdf_identity,198.523
scale-10,list,10,3,preflight.checkpoint_evaluation,0.759
scale-10,list,10,3,preflight.cloud_head_fetch,454.377
scale-10,list,10,3,preflight.outbox_replay,0.071
scale-10,list,10,3,preflight.relay_fetch_r2,2622.613
scale-10,list,10,3,preflight.total,3083.87
scale-10,tree,10,4,auth.kdf_identity,184.991
scale-10,tree,10,4,preflight.checkpoint_evaluation,0.726
scale-10,tree,10,4,preflight.cloud_head_fetch,724.619
scale-10,tree,10,4,preflight.outbox_replay,0.071
scale-10,tree,10,4,preflight.relay_fetch_r2,2359.404
scale-10,tree,10,4,preflight.total,3092.724
scale-10,cat-sample-1,10,5,auth.kdf_identity,185.5
scale-10,cat-sample-1,10,5,preflight.checkpoint_evaluation,0.883
scale-10,cat-sample-1,10,5,preflight.cloud_head_fetch,584.733
scale-10,cat-sample-1,10,5,preflight.outbox_replay,0.072
scale-10,cat-sample-1,10,5,preflight.relay_fetch_r2,2621.823
scale-10,cat-sample-1,10,5,preflight.total,3217.024
scale-10,cat-sample-1,10,5,read.blob_decrypt_verify,47.001
scale-10,cat-sample-1,10,5,read.blob_fetch,1350.734
scale-10,cat-sample-1,10,5,read.path_resolution,4571.576
scale-10,quick-scan,10,6,auth.kdf_identity,185.926
scale-10,quick-scan,10,6,preflight.checkpoint_evaluation,0.462
scale-10,quick-scan,10,6,preflight.cloud_head_fetch,654.361
scale-10,quick-scan,10,6,preflight.outbox_replay,0.07
scale-10,quick-scan,10,6,preflight.relay_fetch_r2,2419.479
scale-10,quick-scan,10,6,preflight.total,3078.626
scale-10,deep-scan,10,7,auth.kdf_identity,202.527
scale-10,deep-scan,10,7,preflight.checkpoint_evaluation,0.743
scale-10,deep-scan,10,7,preflight.cloud_head_fetch,498.887
scale-10,deep-scan,10,7,preflight.outbox_replay,0.069
scale-10,deep-scan,10,7,preflight.relay_fetch_r2,2696.621
scale-10,deep-scan,10,7,preflight.total,3202.584
