scenario,operation,dataset_files,phase,n,mean_ms,median_ms,p95_ms,p99_ms
scale-10,cat,10,auth.kdf_identity,1,195.673,195.673,195.673,195.673
scale-10,cat,10,preflight.checkpoint_evaluation,1,0.545,0.545,0.545,0.545
scale-10,cat,10,preflight.cloud_head_fetch,1,646.247,646.247,646.247,646.247
scale-10,cat,10,preflight.outbox_replay,1,0.072,0.072,0.072,0.072
scale-10,cat,10,preflight.relay_fetch_r2,1,2320.673,2320.673,2320.673,2320.673
scale-10,cat,10,preflight.total,1,2972.271,2972.271,2972.271,2972.271
scale-10,cat,10,read.blob_decrypt_verify,1,0.191,0.191,0.191,0.191
scale-10,cat,10,read.blob_fetch,1,685.572,685.572,685.572,685.572
scale-10,cat,10,read.path_resolution,1,4902.652,4902.652,4902.652,4902.652
scale-10,deep-scan,10,auth.kdf_identity,1,195.594,195.594,195.594,195.594
scale-10,deep-scan,10,preflight.checkpoint_evaluation,1,0.704,0.704,0.704,0.704
scale-10,deep-scan,10,preflight.cloud_head_fetch,1,636.127,636.127,636.127,636.127
scale-10,deep-scan,10,preflight.outbox_replay,1,0.076,0.076,0.076,0.076
scale-10,deep-scan,10,preflight.relay_fetch_r2,1,2304.172,2304.172,2304.172,2304.172
scale-10,deep-scan,10,preflight.total,1,2946.625,2946.625,2946.625,2946.625
scale-10,init,10,auth.kdf_identity,1,1215.435,1215.435,1215.435,1215.435
scale-10,init,10,init.checkpoint_publish_w2,1,2379.271,2379.271,2379.271,2379.271
scale-10,init,10,init.cloud_head_fetch,1,814.69,814.69,814.69,814.69
scale-10,init,10,init.genesis_publish_w2,1,2533.587,2533.587,2533.587,2533.587
scale-10,list,10,auth.kdf_identity,1,198.85,198.85,198.85,198.85
scale-10,list,10,preflight.checkpoint_evaluation,1,0.723,0.723,0.723,0.723
scale-10,list,10,preflight.cloud_head_fetch,1,455.568,455.568,455.568,455.568
scale-10,list,10,preflight.outbox_replay,1,0.072,0.072,0.072,0.072
scale-10,list,10,preflight.relay_fetch_r2,1,2382.551,2382.551,2382.551,2382.551
scale-10,list,10,preflight.total,1,2843.876,2843.876,2843.876,2843.876
scale-10,quick-scan,10,auth.kdf_identity,1,193.983,193.983,193.983,193.983
scale-10,quick-scan,10,preflight.checkpoint_evaluation,1,0.71,0.71,0.71,0.71
scale-10,quick-scan,10,preflight.cloud_head_fetch,1,485.396,485.396,485.396,485.396
scale-10,quick-scan,10,preflight.outbox_replay,1,0.073,0.073,0.073,0.073
scale-10,quick-scan,10,preflight.relay_fetch_r2,1,2306.975,2306.975,2306.975,2306.975
scale-10,quick-scan,10,preflight.total,1,2798.801,2798.801,2798.801,2798.801
scale-10,status,10,auth.kdf_identity,1,188.701,188.701,188.701,188.701
scale-10,status,10,preflight.checkpoint_evaluation,1,0.273,0.273,0.273,0.273
scale-10,status,10,preflight.cloud_head_fetch,1,516.318,516.318,516.318,516.318
scale-10,status,10,preflight.outbox_replay,1,0.076,0.076,0.076,0.076
scale-10,status,10,preflight.relay_fetch_r2,1,2345.014,2345.014,2345.014,2345.014
scale-10,status,10,preflight.total,1,2865.433,2865.433,2865.433,2865.433
scale-10,tree,10,auth.kdf_identity,1,194.672,194.672,194.672,194.672
scale-10,tree,10,preflight.checkpoint_evaluation,1,0.747,0.747,0.747,0.747
scale-10,tree,10,preflight.cloud_head_fetch,1,519.245,519.245,519.245,519.245
scale-10,tree,10,preflight.outbox_replay,1,0.075,0.075,0.075,0.075
scale-10,tree,10,preflight.relay_fetch_r2,1,2324.76,2324.76,2324.76,2324.76
scale-10,tree,10,preflight.total,1,2850.296,2850.296,2850.296,2850.296
