scenario,operation,dataset_files,sequence,phase,phase_ms
scale-10,init,10,1,auth.kdf_identity,1215.435
scale-10,init,10,1,init.checkpoint_publish_w2,2379.271
scale-10,init,10,1,init.cloud_head_fetch,814.69
scale-10,init,10,1,init.genesis_publish_w2,2533.587
scale-10,status,10,2,auth.kdf_identity,188.701
scale-10,status,10,2,preflight.checkpoint_evaluation,0.273
scale-10,status,10,2,preflight.cloud_head_fetch,516.318
scale-10,status,10,2,preflight.outbox_replay,0.076
scale-10,status,10,2,preflight.relay_fetch_r2,2345.014
scale-10,status,10,2,preflight.total,2865.433
scale-10,list,10,3,auth.kdf_identity,198.85
scale-10,list,10,3,preflight.checkpoint_evaluation,0.723
scale-10,list,10,3,preflight.cloud_head_fetch,455.568
scale-10,list,10,3,preflight.outbox_replay,0.072
scale-10,list,10,3,preflight.relay_fetch_r2,2382.551
scale-10,list,10,3,preflight.total,2843.876
scale-10,tree,10,4,auth.kdf_identity,194.672
scale-10,tree,10,4,preflight.checkpoint_evaluation,0.747
scale-10,tree,10,4,preflight.cloud_head_fetch,519.245
scale-10,tree,10,4,preflight.outbox_replay,0.075
scale-10,tree,10,4,preflight.relay_fetch_r2,2324.76
scale-10,tree,10,4,preflight.total,2850.296
scale-10,cat-sample-1,10,5,auth.kdf_identity,195.673
scale-10,cat-sample-1,10,5,preflight.checkpoint_evaluation,0.545
scale-10,cat-sample-1,10,5,preflight.cloud_head_fetch,646.247
scale-10,cat-sample-1,10,5,preflight.outbox_replay,0.072
scale-10,cat-sample-1,10,5,preflight.relay_fetch_r2,2320.673
scale-10,cat-sample-1,10,5,preflight.total,2972.271
scale-10,cat-sample-1,10,5,read.blob_decrypt_verify,0.191
scale-10,cat-sample-1,10,5,read.blob_fetch,685.572
scale-10,cat-sample-1,10,5,read.path_resolution,4902.652
scale-10,quick-scan,10,6,auth.kdf_identity,193.983
scale-10,quick-scan,10,6,preflight.checkpoint_evaluation,0.71
scale-10,quick-scan,10,6,preflight.cloud_head_fetch,485.396
scale-10,quick-scan,10,6,preflight.outbox_replay,0.073
scale-10,quick-scan,10,6,preflight.relay_fetch_r2,2306.975
scale-10,quick-scan,10,6,preflight.total,2798.801
scale-10,deep-scan,10,7,auth.kdf_identity,195.594
scale-10,deep-scan,10,7,preflight.checkpoint_evaluation,0.704
scale-10,deep-scan,10,7,preflight.cloud_head_fetch,636.127
scale-10,deep-scan,10,7,preflight.outbox_replay,0.076
scale-10,deep-scan,10,7,preflight.relay_fetch_r2,2304.172
scale-10,deep-scan,10,7,preflight.total,2946.625
