files,operation,old_ms,new_ms,delta_percent,old_success,new_success
1,init,15857.041,18142.367,14.41,1,1
1,cat,9905.915,10384.080,4.83,1,1
1,deep-scan,10528.080,10552.461,0.23,1,1
2,init,16469.349,17611.291,6.93,1,1
2,cat,9806.703,8979.462,-8.44,1,1
2,deep-scan,12517.677,10915.488,-12.80,1,1
5,init,17691.789,20937.280,18.34,1,1
5,cat,10484.780,10091.427,-3.75,1,1
5,deep-scan,15342.766,14055.121,-8.39,1,1
10,init,19058.530,17304.085,-9.21,1,1
10,cat,10816.769,10240.446,-5.33,1,1
10,deep-scan,20457.104,18926.012,-7.48,1,1
