scenario,operation,dataset_files,phase,n,mean_ms,median_ms,p95_ms,p99_ms
scale-1,cat,1,auth.kdf_identity,1,196.864,196.864,196.864,196.864
scale-1,cat,1,preflight.checkpoint_evaluation,1,0.812,0.812,0.812,0.812
scale-1,cat,1,preflight.cloud_head_fetch,1,508.39,508.39,508.39,508.39
scale-1,cat,1,preflight.outbox_replay,1,0.068,0.068,0.068,0.068
scale-1,cat,1,preflight.relay_fetch_r2,1,2328.611,2328.611,2328.611,2328.611
scale-1,cat,1,preflight.total,1,2846.752,2846.752,2846.752,2846.752
scale-1,cat,1,read.blob_decrypt_verify,1,0.203,0.203,0.203,0.203
scale-1,cat,1,read.blob_fetch,1,561.429,561.429,561.429,561.429
scale-1,cat,1,read.path_resolution,1,5387.955,5387.955,5387.955,5387.955
scale-1,deep-scan,1,auth.kdf_identity,1,187.184,187.184,187.184,187.184
scale-1,deep-scan,1,preflight.checkpoint_evaluation,1,0.738,0.738,0.738,0.738
scale-1,deep-scan,1,preflight.cloud_head_fetch,1,615.009,615.009,615.009,615.009
scale-1,deep-scan,1,preflight.outbox_replay,1,0.072,0.072,0.072,0.072
scale-1,deep-scan,1,preflight.relay_fetch_r2,1,2323.534,2323.534,2323.534,2323.534
scale-1,deep-scan,1,preflight.total,1,2945.931,2945.931,2945.931,2945.931
scale-1,init,1,auth.kdf_identity,1,1737.42,1737.42,1737.42,1737.42
scale-1,init,1,init.checkpoint_publish_w2,1,2759.313,2759.313,2759.313,2759.313
scale-1,init,1,init.cloud_head_fetch,1,514.446,514.446,514.446,514.446
scale-1,init,1,init.genesis_publish_w2,1,2314.985,2314.985,2314.985,2314.985
scale-1,list,1,auth.kdf_identity,1,197.974,197.974,197.974,197.974
scale-1,list,1,preflight.checkpoint_evaluation,1,0.748,0.748,0.748,0.748
scale-1,list,1,preflight.cloud_head_fetch,1,586.206,586.206,586.206,586.206
scale-1,list,1,preflight.outbox_replay,1,0.071,0.071,0.071,0.071
scale-1,list,1,preflight.relay_fetch_r2,1,2624.453,2624.453,2624.453,2624.453
scale-1,list,1,preflight.total,1,3217.244,3217.244,3217.244,3217.244
scale-1,quick-scan,1,auth.kdf_identity,1,194.918,194.918,194.918,194.918
scale-1,quick-scan,1,preflight.checkpoint_evaluation,1,0.754,0.754,0.754,0.754
scale-1,quick-scan,1,preflight.cloud_head_fetch,1,521.682,521.682,521.682,521.682
scale-1,quick-scan,1,preflight.outbox_replay,1,0.068,0.068,0.068,0.068
scale-1,quick-scan,1,preflight.relay_fetch_r2,1,3026.901,3026.901,3026.901,3026.901
scale-1,quick-scan,1,preflight.total,1,3555.891,3555.891,3555.891,3555.891
