scenario,operation,dataset_files,file_size_bytes,sequence,total_ms,success,return_code,error_class
scale-1,init,1,8192,1,18142.367,1,0,
scale-1,status,1,8192,2,4964.478,1,0,
scale-1,list,1,8192,3,6780.941,1,0,
scale-1,tree,1,8192,4,12143.256,1,0,
scale-1,cat-sample-1,1,8192,5,10384.08,1,0,
scale-1,quick-scan,1,8192,6,10811.18,1,0,
scale-1,deep-scan,1,8192,7,10552.461,1,0,
scale-2,init,2,8192,8,17611.291,1,0,
scale-2,status,2,8192,9,4837.188,1,0,
scale-2,list,2,8192,10,6601.718,1,0,
scale-2,tree,2,8192,11,10380.351,1,0,
scale-2,cat-sample-1,2,8192,12,8979.462,1,0,
scale-2,quick-scan,2,8192,13,10523.503,1,0,
scale-2,deep-scan,2,8192,14,10915.488,1,0,
scale-5,init,5,8192,15,20937.28,1,0,
scale-5,status,5,8192,16,4546.536,1,0,
scale-5,list,5,8192,17,6289.5,1,0,
scale-5,tree,5,8192,18,10485.51,1,0,
scale-5,cat-sample-1,5,8192,19,10091.427,1,0,
scale-5,quick-scan,5,8192,20,10874.71,1,0,
scale-5,deep-scan,5,8192,21,14055.121,1,0,
scale-10,init,10,8192,22,17304.085,1,0,
scale-10,status,10,8192,23,4471.177,1,0,
scale-10,list,10,8192,24,6458.856,1,0,
scale-10,tree,10,8192,25,10957.23,1,0,
scale-10,cat-sample-1,10,8192,26,10240.446,1,0,
scale-10,quick-scan,10,8192,27,15157.903,1,0,
scale-10,deep-scan,10,8192,28,18926.012,1,0,
cleanup,destroy,0,8192,29,1445.409,1,0,
cleanup,destroy,0,8192,30,1404.268,1,0,
cleanup,destroy,0,8192,31,1457.636,1,0,
cleanup,destroy,0,8192,32,1370.769,1,0,
