scenario,operation,dataset_files,sequence,phase,phase_ms
scale-1,init,1,1,auth.kdf_identity,1737.42
scale-1,init,1,1,init.checkpoint_publish_w2,2759.313
scale-1,init,1,1,init.cloud_head_fetch,514.446
scale-1,init,1,1,init.genesis_publish_w2,2314.985
scale-1,status,1,2,auth.kdf_identity,180.338
scale-1,status,1,2,preflight.checkpoint_evaluation,0.841
scale-1,status,1,2,preflight.cloud_head_fetch,488.553
scale-1,status,1,2,preflight.outbox_replay,0.073
scale-1,status,1,2,preflight.relay_fetch_r2,2718.753
scale-1,status,1,2,preflight.total,3215.8
scale-1,list,1,3,auth.kdf_identity,197.974
scale-1,list,1,3,preflight.checkpoint_evaluation,0.748
scale-1,list,1,3,preflight.cloud_head_fetch,586.206
scale-1,list,1,3,preflight.outbox_replay,0.071
scale-1,list,1,3,preflight.relay_fetch_r2,2624.453
scale-1,list,1,3,preflight.total,3217.244
scale-1,tree,1,4,auth.kdf_identity,200.273
scale-1,tree,1,4,preflight.checkpoint_evaluation,0.759
scale-1,tree,1,4,preflight.cloud_head_fetch,630.044
scale-1,tree,1,4,preflight.outbox_replay,0.07
scale-1,tree,1,4,preflight.relay_fetch_r2,2509.129
scale-1,tree,1,4,preflight.total,3147.851
scale-1,cat-sample-1,1,5,auth.kdf_identity,196.864
scale-1,cat-sample-1,1,5,preflight.checkpoint_evaluation,0.812
scale-1,cat-sample-1,1,5,preflight.cloud_head_fetch,508.39
scale-1,cat-sample-1,1,5,preflight.outbox_replay,0.068
scale-1,cat-sample-1,1,5,preflight.relay_fetch_r2,2328.611
scale-1,cat-sample-1,1,5,preflight.total,2846.752
scale-1,cat-sample-1,1,5,read.blob_decrypt_verify,0.203
scale-1,cat-sample-1,1,5,read.blob_fetch,561.429
scale-1,cat-sample-1,1,5,read.path_resolution,5387.955
scale-1,quick-scan,1,6,auth.kdf_identity,194.918
scale-1,quick-scan,1,6,preflight.checkpoint_evaluation,0.754
scale-1,quick-scan,1,6,preflight.cloud_head_fetch,521.682
scale-1,quick-scan,1,6,preflight.outbox_replay,0.068
scale-1,quick-scan,1,6,preflight.relay_fetch_r2,3026.901
scale-1,quick-scan,1,6,preflight.total,3555.891
scale-1,deep-scan,1,7,auth.kdf_identity,187.184
scale-1,deep-scan,1,7,preflight.checkpoint_evaluation,0.738
scale-1,deep-scan,1,7,preflight.cloud_head_fetch,615.009
