scenario,operation,dataset_files,n,successes,mean_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms
scale-1,cat,1,1,1,10384.08,10384.08,10384.08,10384.08,10384.08,10384.08
scale-1,deep-scan,1,1,1,10552.461,10552.461,10552.461,10552.461,10552.461,10552.461
scale-1,init,1,1,1,18142.367,18142.367,18142.367,18142.367,18142.367,18142.367
scale-1,list,1,1,1,6780.941,6780.941,6780.941,6780.941,6780.941,6780.941
scale-1,quick-scan,1,1,1,10811.18,10811.18,10811.18,10811.18,10811.18,10811.18
scale-1,status,1,1,1,4964.478,4964.478,4964.478,4964.478,4964.478,4964.478
scale-1,tree,1,1,1,12143.256,12143.256,12143.256,12143.256,12143.256,12143.256
scale-10,cat,10,1,1,10240.446,10240.446,10240.446,10240.446,10240.446,10240.446
scale-10,deep-scan,10,1,1,18926.012,18926.012,18926.012,18926.012,18926.012,18926.012
scale-10,init,10,1,1,17304.085,17304.085,17304.085,17304.085,17304.085,17304.085
scale-10,list,10,1,1,6458.856,6458.856,6458.856,6458.856,6458.856,6458.856
scale-10,quick-scan,10,1,1,15157.903,15157.903,15157.903,15157.903,15157.903,15157.903
scale-10,status,10,1,1,4471.177,4471.177,4471.177,4471.177,4471.177,4471.177
scale-10,tree,10,1,1,10957.23,10957.23,10957.23,10957.23,10957.23,10957.23
scale-2,cat,2,1,1,8979.462,8979.462,8979.462,8979.462,8979.462,8979.462
scale-2,deep-scan,2,1,1,10915.488,10915.488,10915.488,10915.488,10915.488,10915.488
scale-2,init,2,1,1,17611.291,17611.291,17611.291,17611.291,17611.291,17611.291
scale-2,list,2,1,1,6601.718,6601.718,6601.718,6601.718,6601.718,6601.718
scale-2,quick-scan,2,1,1,10523.503,10523.503,10523.503,10523.503,10523.503,10523.503
scale-2,status,2,1,1,4837.188,4837.188,4837.188,4837.188,4837.188,4837.188
scale-2,tree,2,1,1,10380.351,10380.351,10380.351,10380.351,10380.351,10380.351
scale-5,cat,5,1,1,10091.427,10091.427,10091.427,10091.427,10091.427,10091.427
scale-5,deep-scan,5,1,1,14055.121,14055.121,14055.121,14055.121,14055.121,14055.121
scale-5,init,5,1,1,20937.28,20937.28,20937.28,20937.28,20937.28,20937.28
scale-5,list,5,1,1,6289.5,6289.5,6289.5,6289.5,6289.5,6289.5
scale-5,quick-scan,5,1,1,10874.71,10874.71,10874.71,10874.71,10874.71,10874.71
scale-5,status,5,1,1,4546.536,4546.536,4546.536,4546.536,4546.536,4546.536
scale-5,tree,5,1,1,10485.51,10485.51,10485.51,10485.51,10485.51,10485.51
