scenario,operation,dataset_files,phase,n,mean_ms,median_ms,p95_ms,p99_ms
scale-10,cat,10,auth.kdf_identity,1,185.417,185.417,185.417,185.417
scale-10,cat,10,preflight.checkpoint_evaluation,1,0.755,0.755,0.755,0.755
scale-10,cat,10,preflight.cloud_head_fetch,1,518.453,518.453,518.453,518.453
scale-10,cat,10,preflight.outbox_replay,1,0.072,0.072,0.072,0.072
scale-10,cat,10,preflight.relay_fetch_r2,1,2303.699,2303.699,2303.699,2303.699
scale-10,cat,10,preflight.total,1,2830.829,2830.829,2830.829,2830.829
scale-10,cat,10,read.blob_decrypt_verify,1,1.627,1.627,1.627,1.627
scale-10,cat,10,read.blob_fetch,1,625.309,625.309,625.309,625.309
scale-10,cat,10,read.path_resolution,1,4694.802,4694.802,4694.802,4694.802
scale-10,deep-scan,10,auth.kdf_identity,1,192.587,192.587,192.587,192.587
scale-10,deep-scan,10,preflight.checkpoint_evaluation,1,0.698,0.698,0.698,0.698
scale-10,deep-scan,10,preflight.cloud_head_fetch,1,498.526,498.526,498.526,498.526
scale-10,deep-scan,10,preflight.outbox_replay,1,0.073,0.073,0.073,0.073
scale-10,deep-scan,10,preflight.relay_fetch_r2,1,2563.168,2563.168,2563.168,2563.168
scale-10,deep-scan,10,preflight.total,1,3068.554,3068.554,3068.554,3068.554
scale-10,init,10,auth.kdf_identity,1,2092.15,2092.15,2092.15,2092.15
scale-10,init,10,init.checkpoint_publish_w2,1,2428.594,2428.594,2428.594,2428.594
scale-10,init,10,init.cloud_head_fetch,1,528.824,528.824,528.824,528.824
scale-10,init,10,init.genesis_publish_w2,1,2179.687,2179.687,2179.687,2179.687
scale-10,list,10,auth.kdf_identity,1,187.431,187.431,187.431,187.431
scale-10,list,10,preflight.checkpoint_evaluation,1,0.624,0.624,0.624,0.624
scale-10,list,10,preflight.cloud_head_fetch,1,2009.981,2009.981,2009.981,2009.981
scale-10,list,10,preflight.outbox_replay,1,0.074,0.074,0.074,0.074
scale-10,list,10,preflight.relay_fetch_r2,1,2379.298,2379.298,2379.298,2379.298
scale-10,list,10,preflight.total,1,4395.014,4395.014,4395.014,4395.014
scale-10,quick-scan,10,auth.kdf_identity,1,202.576,202.576,202.576,202.576
scale-10,quick-scan,10,preflight.checkpoint_evaluation,1,0.744,0.744,0.744,0.744
scale-10,quick-scan,10,preflight.cloud_head_fetch,1,602.541,602.541,602.541,602.541
scale-10,quick-scan,10,preflight.outbox_replay,1,0.07,0.07,0.07,0.07
scale-10,quick-scan,10,preflight.relay_fetch_r2,1,2491.917,2491.917,2491.917,2491.917
scale-10,quick-scan,10,preflight.total,1,3102.045,3102.045,3102.045,3102.045
scale-10,status,10,auth.kdf_identity,1,178.054,178.054,178.054,178.054
scale-10,status,10,preflight.checkpoint_evaluation,1,0.737,0.737,0.737,0.737
scale-10,status,10,preflight.cloud_head_fetch,1,455.314,455.314,455.314,455.314
scale-10,status,10,preflight.outbox_replay,1,0.069,0.069,0.069,0.069
scale-10,status,10,preflight.relay_fetch_r2,1,3290.995,3290.995,3290.995,3290.995
scale-10,status,10,preflight.total,1,3753.549,3753.549,3753.549,3753.549
scale-10,tree,10,auth.kdf_identity,1,189.749,189.749,189.749,189.749
scale-10,tree,10,preflight.checkpoint_evaluation,1,0.732,0.732,0.732,0.732
scale-10,tree,10,preflight.cloud_head_fetch,1,503.299,503.299,503.299,503.299
scale-10,tree,10,preflight.outbox_replay,1,0.07,0.07,0.07,0.07
scale-10,tree,10,preflight.relay_fetch_r2,1,2602.041,2602.041,2602.041,2602.041
scale-10,tree,10,preflight.total,1,3112.283,3112.283,3112.283,3112.283
ycsb-a,read,10,auth.kdf_identity,10,186.168,185.666,199.565,200.176
ycsb-a,read,10,preflight.checkpoint_evaluation,10,0.986,1.007,1.377,1.411
ycsb-a,read,10,preflight.cloud_head_fetch,10,655.016,541.567,1230.854,1645.73
ycsb-a,read,10,preflight.outbox_replay,10,0.076,0.074,0.088,0.091
ycsb-a,read,10,preflight.relay_fetch_r2,10,2993.133,2390.334,5265.717,5627.607
ycsb-a,read,10,preflight.total,10,3655.303,2938.361,6378.99,6451.718
ycsb-a,read,10,read.blob_decrypt_verify,10,0.31,0.193,0.701,0.847
ycsb-a,read,10,read.blob_fetch,10,916.03,685.718,1960.928,2134.989
ycsb-a,read,10,read.path_resolution,10,4566.893,4379.736,5920.607,6391.133
ycsb-a,update,10,auth.kdf_identity,10,191.572,191.025,200.519,200.61
ycsb-a,update,10,commit.checkpoint_create_journal,10,2.925,2.814,3.671,3.78
ycsb-a,update,10,commit.checkpoint_publish_w2,10,2409.782,2397.284,2579.098,2591.371
ycsb-a,update,10,commit.cloud_head_recheck,10,628.942,410.983,1492.893,1505.763
ycsb-a,update,10,commit.dropbox_cas,10,1010.547,943.697,1370.565,1543.426
ycsb-a,update,10,commit.dropbox_readback,10,706.654,403.109,1447.082,1455.41
ycsb-a,update,10,commit.local_finalize,10,4.165,4.288,4.557,4.583
ycsb-a,update,10,preflight.checkpoint_evaluation,10,2.566,2.579,3.11,3.176
ycsb-a,update,10,preflight.cloud_head_fetch,10,1639.057,1474.714,2435.434,2490.392
ycsb-a,update,10,preflight.outbox_replay,10,0.348,0.342,0.417,0.429
ycsb-a,update,10,preflight.relay_fetch_r2,10,7497.971,7335.858,8347.583,8466.606
ycsb-a,update,10,write.cas_checkpoint_finalize,10,10727.307,10763.597,11849.031,11895.827
ycsb-a,update,10,write.head_journal,10,2.531,2.281,4.775,4.993
ycsb-a,update,10,write.object_prepare_upload,10,9117.948,9271.302,9753.036,9865.763
ycsb-a,update,10,write.preflight,10,3195.351,3013.861,4004.064,4085.534
ycsb-b,read,10,auth.kdf_identity,19,190.572,190.14,203.502,210.728
ycsb-b,read,10,preflight.checkpoint_evaluation,19,0.867,0.783,1.32,1.326
ycsb-b,read,10,preflight.cloud_head_fetch,19,646.866,568.298,1150.066,1539.014
ycsb-b,read,10,preflight.outbox_replay,19,0.072,0.07,0.082,0.083
ycsb-b,read,10,preflight.relay_fetch_r2,19,2420.064,2404.137,2588.696,2605.694
ycsb-b,read,10,preflight.total,19,3073.79,2985.132,3547.092,4088.317
ycsb-b,read,10,read.blob_decrypt_verify,19,0.205,0.201,0.241,0.315
ycsb-b,read,10,read.blob_fetch,19,711.316,646.021,850.242,1549.385
ycsb-b,read,10,read.path_resolution,19,4349.533,4515.787,4928.742,5276.521
ycsb-b,update,10,auth.kdf_identity,1,205.665,205.665,205.665,205.665
ycsb-b,update,10,commit.checkpoint_create_journal,1,2.543,2.543,2.543,2.543
ycsb-b,update,10,commit.checkpoint_publish_w2,1,2272.323,2272.323,2272.323,2272.323
ycsb-b,update,10,commit.cloud_head_recheck,1,451.769,451.769,451.769,451.769
ycsb-b,update,10,commit.dropbox_cas,1,952.14,952.14,952.14,952.14
ycsb-b,update,10,commit.dropbox_readback,1,383.508,383.508,383.508,383.508
ycsb-b,update,10,commit.local_finalize,1,1.865,1.865,1.865,1.865
ycsb-b,update,10,preflight.checkpoint_evaluation,1,2.334,2.334,2.334,2.334
