scenario,operation,dataset_files,file_size_bytes,sequence,total_ms,success,return_code,error_class
scale-10,init,10,8192,1,19432.531,1,0,
scale-10,status,10,8192,2,5455.485,1,0,
scale-10,list,10,8192,3,7668.858,1,0,
scale-10,tree,10,8192,4,10276.527,1,0,
scale-10,cat-sample-1,10,8192,5,9927.678,1,0,
scale-10,quick-scan,10,8192,6,13057.527,1,0,
scale-10,deep-scan,10,8192,7,21261.936,1,0,
ycsb-c,read,10,8192,8,9150.477,1,0,
ycsb-c,read,10,8192,9,10413.796,1,0,
ycsb-c,read,10,8192,10,9733.74,1,0,
ycsb-c,read,10,8192,11,9215.498,1,0,
ycsb-c,read,10,8192,12,9687.471,1,0,
ycsb-c,read,10,8192,13,9074.257,1,0,
ycsb-c,read,10,8192,14,14590.324,1,0,
ycsb-c,read,10,8192,15,10185.636,1,0,
ycsb-c,read,10,8192,16,10631.581,1,0,
ycsb-c,read,10,8192,17,10476.775,1,0,
ycsb-c,read,10,8192,18,10752.421,1,0,
ycsb-c,read,10,8192,19,10730.228,1,0,
ycsb-c,read,10,8192,20,12661.573,1,0,
ycsb-c,read,10,8192,21,10835.781,1,0,
ycsb-c,read,10,8192,22,9145.95,1,0,
ycsb-c,read,10,8192,23,9890.361,1,0,
ycsb-c,read,10,8192,24,9810.438,1,0,
ycsb-c,read,10,8192,25,9705.599,1,0,
ycsb-c,read,10,8192,26,9998.004,1,0,
ycsb-c,read,10,8192,27,9815.416,1,0,
ycsb-b,read,10,8192,28,9109.514,1,0,
ycsb-b,read,10,8192,29,9082.573,1,0,
ycsb-b,update,10,8192,30,26987.715,1,0,
ycsb-b,read,10,8192,31,9219.192,1,0,
ycsb-b,read,10,8192,32,9429.727,1,0,
ycsb-b,read,10,8192,33,10530.21,1,0,
ycsb-b,read,10,8192,34,9393.328,1,0,
ycsb-b,read,10,8192,35,10300.021,1,0,
ycsb-b,read,10,8192,36,9206.447,1,0,
ycsb-b,read,10,8192,37,10025.945,1,0,
ycsb-b,read,10,8192,38,10581.157,1,0,
ycsb-b,read,10,8192,39,10013.893,1,0,
ycsb-b,read,10,8192,40,9844.686,1,0,
ycsb-b,read,10,8192,41,10276.031,1,0,
ycsb-b,read,10,8192,42,9752.124,1,0,
ycsb-b,read,10,8192,43,9921.021,1,0,
ycsb-b,read,10,8192,44,9990.792,1,0,
ycsb-b,read,10,8192,45,12030.525,1,0,
ycsb-b,read,10,8192,46,10405.863,1,0,
ycsb-b,read,10,8192,47,9089.981,1,0,
ycsb-a,update,10,8192,48,25923.856,1,0,
ycsb-a,read,10,8192,49,11957.207,1,0,
ycsb-a,update,10,8192,50,26360.933,1,0,
ycsb-a,read,10,8192,51,9937.345,1,0,
ycsb-a,update,10,8192,52,24927.781,1,0,
ycsb-a,update,10,8192,53,25974.557,1,0,
ycsb-a,update,10,8192,54,25768.433,1,0,
ycsb-a,update,10,8192,55,25605.932,1,0,
ycsb-a,update,10,8192,56,24730.522,1,0,
ycsb-a,update,10,8192,57,23715.745,1,0,
ycsb-a,read,10,8192,58,10815.521,1,0,
ycsb-a,read,10,8192,59,10096.536,1,0,
ycsb-a,update,10,8192,60,24921.426,1,0,
ycsb-a,read,10,8192,61,10476.674,1,0,
ycsb-a,read,10,8192,62,8632.673,1,0,
ycsb-a,read,10,8192,63,12452.373,1,0,
ycsb-a,read,10,8192,64,9012.478,1,0,
ycsb-a,read,10,8192,65,10457.739,1,0,
ycsb-a,read,10,8192,66,13419.245,1,0,
ycsb-a,update,10,8192,67,27336.169,1,0,
cleanup,destroy,0,8192,68,1557.089,1,0,
