scenario,operation,dataset_files,sequence,phase,phase_ms
scale-10,init,10,1,auth.kdf_identity,2092.15
scale-10,init,10,1,init.checkpoint_publish_w2,2428.594
scale-10,init,10,1,init.cloud_head_fetch,528.824
scale-10,init,10,1,init.genesis_publish_w2,2179.687
scale-10,status,10,2,auth.kdf_identity,178.054
scale-10,status,10,2,preflight.checkpoint_evaluation,0.737
scale-10,status,10,2,preflight.cloud_head_fetch,455.314
scale-10,status,10,2,preflight.outbox_replay,0.069
scale-10,status,10,2,preflight.relay_fetch_r2,3290.995
scale-10,status,10,2,preflight.total,3753.549
scale-10,list,10,3,auth.kdf_identity,187.431
scale-10,list,10,3,preflight.checkpoint_evaluation,0.624
scale-10,list,10,3,preflight.cloud_head_fetch,2009.981
scale-10,list,10,3,preflight.outbox_replay,0.074
scale-10,list,10,3,preflight.relay_fetch_r2,2379.298
scale-10,list,10,3,preflight.total,4395.014
scale-10,tree,10,4,auth.kdf_identity,189.749
scale-10,tree,10,4,preflight.checkpoint_evaluation,0.732
scale-10,tree,10,4,preflight.cloud_head_fetch,503.299
scale-10,tree,10,4,preflight.outbox_replay,0.07
scale-10,tree,10,4,preflight.relay_fetch_r2,2602.041
scale-10,tree,10,4,preflight.total,3112.283
scale-10,cat-sample-1,10,5,auth.kdf_identity,185.417
scale-10,cat-sample-1,10,5,preflight.checkpoint_evaluation,0.755
scale-10,cat-sample-1,10,5,preflight.cloud_head_fetch,518.453
scale-10,cat-sample-1,10,5,preflight.outbox_replay,0.072
scale-10,cat-sample-1,10,5,preflight.relay_fetch_r2,2303.699
scale-10,cat-sample-1,10,5,preflight.total,2830.829
scale-10,cat-sample-1,10,5,read.blob_decrypt_verify,1.627
scale-10,cat-sample-1,10,5,read.blob_fetch,625.309
scale-10,cat-sample-1,10,5,read.path_resolution,4694.802
scale-10,quick-scan,10,6,auth.kdf_identity,202.576
scale-10,quick-scan,10,6,preflight.checkpoint_evaluation,0.744
scale-10,quick-scan,10,6,preflight.cloud_head_fetch,602.541
scale-10,quick-scan,10,6,preflight.outbox_replay,0.07
scale-10,quick-scan,10,6,preflight.relay_fetch_r2,2491.917
scale-10,quick-scan,10,6,preflight.total,3102.045
scale-10,deep-scan,10,7,auth.kdf_identity,192.587
scale-10,deep-scan,10,7,preflight.checkpoint_evaluation,0.698
scale-10,deep-scan,10,7,preflight.cloud_head_fetch,498.526
scale-10,deep-scan,10,7,preflight.outbox_replay,0.073
scale-10,deep-scan,10,7,preflight.relay_fetch_r2,2563.168
scale-10,deep-scan,10,7,preflight.total,3068.554
ycsb-c,read,10,8,auth.kdf_identity,201.408
ycsb-c,read,10,8,preflight.checkpoint_evaluation,0.705
ycsb-c,read,10,8,preflight.cloud_head_fetch,638.422
ycsb-c,read,10,8,preflight.outbox_replay,0.073
ycsb-c,read,10,8,preflight.relay_fetch_r2,2265.263
ycsb-c,read,10,8,preflight.total,2909.801
ycsb-c,read,10,8,read.blob_decrypt_verify,0.236
ycsb-c,read,10,8,read.blob_fetch,639.118
ycsb-c,read,10,8,read.path_resolution,3898.803
ycsb-c,read,10,9,auth.kdf_identity,180.842
ycsb-c,read,10,9,preflight.checkpoint_evaluation,0.742
ycsb-c,read,10,9,preflight.cloud_head_fetch,547.84
ycsb-c,read,10,9,preflight.outbox_replay,0.07
ycsb-c,read,10,9,preflight.relay_fetch_r2,2338.355
ycsb-c,read,10,9,preflight.total,2893.011
ycsb-c,read,10,9,read.blob_decrypt_verify,0.209
ycsb-c,read,10,9,read.blob_fetch,680.846
ycsb-c,read,10,9,read.path_resolution,5016.417
ycsb-c,read,10,10,auth.kdf_identity,191.744
ycsb-c,read,10,10,preflight.checkpoint_evaluation,0.818
ycsb-c,read,10,10,preflight.cloud_head_fetch,529.36
