scenario,operation,dataset_files,phase,n,mean_ms,median_ms,p95_ms,p99_ms
scale-1,cat,1,auth.kdf_identity,1,193.907,193.907,193.907,193.907
scale-1,cat,1,preflight.checkpoint_evaluation,1,0.759,0.759,0.759,0.759
scale-1,cat,1,preflight.cloud_head_fetch,1,511.389,511.389,511.389,511.389
scale-1,cat,1,preflight.outbox_replay,1,0.076,0.076,0.076,0.076
scale-1,cat,1,preflight.relay_fetch_r2,1,2501.353,2501.353,2501.353,2501.353
scale-1,cat,1,preflight.total,1,3020.131,3020.131,3020.131,3020.131
scale-1,cat,1,read.blob_decrypt_verify,1,2.72,2.72,2.72,2.72
scale-1,cat,1,read.blob_fetch,1,640.416,640.416,640.416,640.416
scale-1,cat,1,read.path_resolution,1,5002.549,5002.549,5002.549,5002.549
scale-1,deep-scan,1,auth.kdf_identity,1,184.048,184.048,184.048,184.048
scale-1,deep-scan,1,preflight.checkpoint_evaluation,1,0.705,0.705,0.705,0.705
scale-1,deep-scan,1,preflight.cloud_head_fetch,1,482.108,482.108,482.108,482.108
scale-1,deep-scan,1,preflight.outbox_replay,1,0.089,0.089,0.089,0.089
scale-1,deep-scan,1,preflight.relay_fetch_r2,1,2479.919,2479.919,2479.919,2479.919
scale-1,deep-scan,1,preflight.total,1,2972.271,2972.271,2972.271,2972.271
scale-1,init,1,auth.kdf_identity,1,1215.064,1215.064,1215.064,1215.064
scale-1,init,1,init.checkpoint_publish_w2,1,2376.131,2376.131,2376.131,2376.131
scale-1,init,1,init.cloud_head_fetch,1,733.4,733.4,733.4,733.4
scale-1,init,1,init.genesis_publish_w2,1,2433.092,2433.092,2433.092,2433.092
scale-1,list,1,auth.kdf_identity,1,188.411,188.411,188.411,188.411
scale-1,list,1,preflight.checkpoint_evaluation,1,0.756,0.756,0.756,0.756
scale-1,list,1,preflight.cloud_head_fetch,1,495.802,495.802,495.802,495.802
scale-1,list,1,preflight.outbox_replay,1,0.071,0.071,0.071,0.071
scale-1,list,1,preflight.relay_fetch_r2,1,2472.857,2472.857,2472.857,2472.857
scale-1,list,1,preflight.total,1,2974.962,2974.962,2974.962,2974.962
scale-1,quick-scan,1,auth.kdf_identity,1,180.75,180.75,180.75,180.75
scale-1,quick-scan,1,preflight.checkpoint_evaluation,1,0.763,0.763,0.763,0.763
scale-1,quick-scan,1,preflight.cloud_head_fetch,1,498.467,498.467,498.467,498.467
scale-1,quick-scan,1,preflight.outbox_replay,1,0.07,0.07,0.07,0.07
scale-1,quick-scan,1,preflight.relay_fetch_r2,1,2463.141,2463.141,2463.141,2463.141
scale-1,quick-scan,1,preflight.total,1,2967.926,2967.926,2967.926,2967.926
scale-1,status,1,auth.kdf_identity,1,200.97,200.97,200.97,200.97
scale-1,status,1,preflight.checkpoint_evaluation,1,0.782,0.782,0.782,0.782
scale-1,status,1,preflight.cloud_head_fetch,1,538.386,538.386,538.386,538.386
scale-1,status,1,preflight.outbox_replay,1,0.07,0.07,0.07,0.07
scale-1,status,1,preflight.relay_fetch_r2,1,2332.85,2332.85,2332.85,2332.85
scale-1,status,1,preflight.total,1,2878.507,2878.507,2878.507,2878.507
scale-1,tree,1,auth.kdf_identity,1,185.409,185.409,185.409,185.409
scale-1,tree,1,preflight.checkpoint_evaluation,1,0.751,0.751,0.751,0.751
scale-1,tree,1,preflight.cloud_head_fetch,1,564.526,564.526,564.526,564.526
scale-1,tree,1,preflight.outbox_replay,1,0.069,0.069,0.069,0.069
scale-1,tree,1,preflight.relay_fetch_r2,1,2417.352,2417.352,2417.352,2417.352
scale-1,tree,1,preflight.total,1,2989.164,2989.164,2989.164,2989.164
ycsb-c,read,1,auth.kdf_identity,2,194.395,194.395,205.892,206.914
ycsb-c,read,1,preflight.checkpoint_evaluation,2,0.607,0.607,0.723,0.733
ycsb-c,read,1,preflight.cloud_head_fetch,2,747.516,747.516,837.574,845.579
ycsb-c,read,1,preflight.outbox_replay,2,0.074,0.074,0.079,0.079
ycsb-c,read,1,preflight.relay_fetch_r2,2,2481.649,2481.649,2601.471,2612.121
ycsb-c,read,1,preflight.total,2,3236.421,3236.421,3447.066,3465.79
ycsb-c,read,1,read.blob_decrypt_verify,2,0.209,0.209,0.218,0.219
ycsb-c,read,1,read.blob_fetch,2,1164.382,1164.382,1606.642,1645.954
ycsb-c,read,1,read.path_resolution,2,4250.225,4250.225,4531.243,4556.222
