scenario,operation,dataset_files,sequence,phase,phase_ms
scale-1,init,1,1,auth.kdf_identity,1215.064
scale-1,init,1,1,init.checkpoint_publish_w2,2376.131
scale-1,init,1,1,init.cloud_head_fetch,733.4
scale-1,init,1,1,init.genesis_publish_w2,2433.092
scale-1,status,1,2,auth.kdf_identity,200.97
scale-1,status,1,2,preflight.checkpoint_evaluation,0.782
scale-1,status,1,2,preflight.cloud_head_fetch,538.386
scale-1,status,1,2,preflight.outbox_replay,0.07
scale-1,status,1,2,preflight.relay_fetch_r2,2332.85
scale-1,status,1,2,preflight.total,2878.507
scale-1,list,1,3,auth.kdf_identity,188.411
scale-1,list,1,3,preflight.checkpoint_evaluation,0.756
scale-1,list,1,3,preflight.cloud_head_fetch,495.802
scale-1,list,1,3,preflight.outbox_replay,0.071
scale-1,list,1,3,preflight.relay_fetch_r2,2472.857
scale-1,list,1,3,preflight.total,2974.962
scale-1,tree,1,4,auth.kdf_identity,185.409
scale-1,tree,1,4,preflight.checkpoint_evaluation,0.751
scale-1,tree,1,4,preflight.cloud_head_fetch,564.526
scale-1,tree,1,4,preflight.outbox_replay,0.069
scale-1,tree,1,4,preflight.relay_fetch_r2,2417.352
scale-1,tree,1,4,preflight.total,2989.164
scale-1,cat-sample-1,1,5,auth.kdf_identity,193.907
scale-1,cat-sample-1,1,5,preflight.checkpoint_evaluation,0.759
scale-1,cat-sample-1,1,5,preflight.cloud_head_fetch,511.389
scale-1,cat-sample-1,1,5,preflight.outbox_replay,0.076
scale-1,cat-sample-1,1,5,preflight.relay_fetch_r2,2501.353
scale-1,cat-sample-1,1,5,preflight.total,3020.131
scale-1,cat-sample-1,1,5,read.blob_decrypt_verify,2.72
scale-1,cat-sample-1,1,5,read.blob_fetch,640.416
scale-1,cat-sample-1,1,5,read.path_resolution,5002.549
scale-1,quick-scan,1,6,auth.kdf_identity,180.75
scale-1,quick-scan,1,6,preflight.checkpoint_evaluation,0.763
scale-1,quick-scan,1,6,preflight.cloud_head_fetch,498.467
scale-1,quick-scan,1,6,preflight.outbox_replay,0.07
scale-1,quick-scan,1,6,preflight.relay_fetch_r2,2463.141
scale-1,quick-scan,1,6,preflight.total,2967.926
scale-1,deep-scan,1,7,auth.kdf_identity,184.048
scale-1,deep-scan,1,7,preflight.checkpoint_evaluation,0.705
scale-1,deep-scan,1,7,preflight.cloud_head_fetch,482.108
scale-1,deep-scan,1,7,preflight.outbox_replay,0.089
scale-1,deep-scan,1,7,preflight.relay_fetch_r2,2479.919
scale-1,deep-scan,1,7,preflight.total,2972.271
ycsb-c,read,1,8,auth.kdf_identity,207.169
ycsb-c,read,1,8,preflight.checkpoint_evaluation,0.736
ycsb-c,read,1,8,preflight.cloud_head_fetch,847.58
ycsb-c,read,1,8,preflight.outbox_replay,0.069
ycsb-c,read,1,8,preflight.relay_fetch_r2,2614.784
ycsb-c,read,1,8,preflight.total,3470.471
ycsb-c,read,1,8,read.blob_decrypt_verify,0.219
ycsb-c,read,1,8,read.blob_fetch,672.982
ycsb-c,read,1,8,read.path_resolution,4562.467
ycsb-c,read,1,9,auth.kdf_identity,181.621
ycsb-c,read,1,9,preflight.checkpoint_evaluation,0.478
ycsb-c,read,1,9,preflight.cloud_head_fetch,647.452
ycsb-c,read,1,9,preflight.outbox_replay,0.079
ycsb-c,read,1,9,preflight.relay_fetch_r2,2348.514
ycsb-c,read,1,9,preflight.total,3002.371
ycsb-c,read,1,9,read.blob_decrypt_verify,0.199
ycsb-c,read,1,9,read.blob_fetch,1655.782
ycsb-c,read,1,9,read.path_resolution,3937.983
