scenario,operation,dataset_files,sequence,phase,phase_ms
scale-2,init,2,1,auth.kdf_identity,1238.475
scale-2,init,2,1,init.checkpoint_publish_w2,2511.721
scale-2,init,2,1,init.cloud_head_fetch,481.542
scale-2,init,2,1,init.genesis_publish_w2,2169.847
scale-2,status,2,2,auth.kdf_identity,198.347
scale-2,status,2,2,preflight.checkpoint_evaluation,0.718
scale-2,status,2,2,preflight.cloud_head_fetch,519.639
scale-2,status,2,2,preflight.outbox_replay,0.081
scale-2,status,2,2,preflight.relay_fetch_r2,2357.692
scale-2,status,2,2,preflight.total,2883.872
scale-2,list,2,3,auth.kdf_identity,192.078
scale-2,list,2,3,preflight.checkpoint_evaluation,0.588
scale-2,list,2,3,preflight.cloud_head_fetch,497.177
scale-2,list,2,3,preflight.outbox_replay,0.079
scale-2,list,2,3,preflight.relay_fetch_r2,2493.677
scale-2,list,2,3,preflight.total,2996.294
scale-2,tree,2,4,auth.kdf_identity,199.343
scale-2,tree,2,4,preflight.checkpoint_evaluation,0.696
scale-2,tree,2,4,preflight.cloud_head_fetch,699.816
scale-2,tree,2,4,preflight.outbox_replay,0.084
scale-2,tree,2,4,preflight.relay_fetch_r2,2363.112
scale-2,tree,2,4,preflight.total,3068.884
scale-2,cat-sample-1,2,5,auth.kdf_identity,179.529
scale-2,cat-sample-1,2,5,preflight.checkpoint_evaluation,0.823
scale-2,cat-sample-1,2,5,preflight.cloud_head_fetch,465.164
scale-2,cat-sample-1,2,5,preflight.outbox_replay,0.067
scale-2,cat-sample-1,2,5,preflight.relay_fetch_r2,2322.186
scale-2,cat-sample-1,2,5,preflight.total,2794.923
scale-2,cat-sample-1,2,5,read.path_resolution,4584.535
