scenario,operation,dataset_files,phase,n,mean_ms,median_ms,p95_ms,p99_ms
scale-2,cat,2,auth.kdf_identity,1,197.528,197.528,197.528,197.528
scale-2,cat,2,preflight.checkpoint_evaluation,1,0.738,0.738,0.738,0.738
scale-2,cat,2,preflight.cloud_head_fetch,1,481.34,481.34,481.34,481.34
scale-2,cat,2,preflight.outbox_replay,1,0.072,0.072,0.072,0.072
scale-2,cat,2,preflight.relay_fetch_r2,1,2303.29,2303.29,2303.29,2303.29
scale-2,cat,2,preflight.total,1,2791.274,2791.274,2791.274,2791.274
scale-2,cat,2,read.blob_decrypt_verify,1,0.25,0.25,0.25,0.25
scale-2,cat,2,read.blob_fetch,1,595.701,595.701,595.701,595.701
scale-2,cat,2,read.path_resolution,1,4987.895,4987.895,4987.895,4987.895
scale-2,deep-scan,2,auth.kdf_identity,1,190.242,190.242,190.242,190.242
scale-2,deep-scan,2,preflight.checkpoint_evaluation,1,0.75,0.75,0.75,0.75
scale-2,deep-scan,2,preflight.cloud_head_fetch,1,604.431,604.431,604.431,604.431
scale-2,deep-scan,2,preflight.outbox_replay,1,0.074,0.074,0.074,0.074
scale-2,deep-scan,2,preflight.relay_fetch_r2,1,2230.335,2230.335,2230.335,2230.335
scale-2,deep-scan,2,preflight.total,1,2841.454,2841.454,2841.454,2841.454
scale-2,init,2,auth.kdf_identity,1,1393.314,1393.314,1393.314,1393.314
scale-2,init,2,init.checkpoint_publish_w2,1,2285.91,2285.91,2285.91,2285.91
scale-2,init,2,init.cloud_head_fetch,1,699.305,699.305,699.305,699.305
scale-2,init,2,init.genesis_publish_w2,1,2584.923,2584.923,2584.923,2584.923
scale-2,list,2,auth.kdf_identity,1,178.379,178.379,178.379,178.379
scale-2,list,2,preflight.checkpoint_evaluation,1,0.699,0.699,0.699,0.699
scale-2,list,2,preflight.cloud_head_fetch,1,526.384,526.384,526.384,526.384
scale-2,list,2,preflight.outbox_replay,1,0.081,0.081,0.081,0.081
scale-2,list,2,preflight.relay_fetch_r2,1,2485.587,2485.587,2485.587,2485.587
scale-2,list,2,preflight.total,1,3019.672,3019.672,3019.672,3019.672
scale-2,quick-scan,2,auth.kdf_identity,1,180.496,180.496,180.496,180.496
scale-2,quick-scan,2,preflight.checkpoint_evaluation,1,0.781,0.781,0.781,0.781
scale-2,quick-scan,2,preflight.cloud_head_fetch,1,431.317,431.317,431.317,431.317
scale-2,quick-scan,2,preflight.outbox_replay,1,0.072,0.072,0.072,0.072
scale-2,quick-scan,2,preflight.relay_fetch_r2,1,2414.465,2414.465,2414.465,2414.465
scale-2,quick-scan,2,preflight.total,1,2852.288,2852.288,2852.288,2852.288
scale-2,status,2,auth.kdf_identity,1,208.64,208.64,208.64,208.64
scale-2,status,2,preflight.checkpoint_evaluation,1,0.742,0.742,0.742,0.742
scale-2,status,2,preflight.cloud_head_fetch,1,611.737,611.737,611.737,611.737
scale-2,status,2,preflight.outbox_replay,1,0.065,0.065,0.065,0.065
scale-2,status,2,preflight.relay_fetch_r2,1,2272.679,2272.679,2272.679,2272.679
scale-2,status,2,preflight.total,1,2890.759,2890.759,2890.759,2890.759
scale-2,tree,2,auth.kdf_identity,1,188.055,188.055,188.055,188.055
scale-2,tree,2,preflight.checkpoint_evaluation,1,0.753,0.753,0.753,0.753
scale-2,tree,2,preflight.cloud_head_fetch,1,519.619,519.619,519.619,519.619
scale-2,tree,2,preflight.outbox_replay,1,0.072,0.072,0.072,0.072
scale-2,tree,2,preflight.relay_fetch_r2,1,2379.825,2379.825,2379.825,2379.825
scale-2,tree,2,preflight.total,1,2906.069,2906.069,2906.069,2906.069
