scenario,operation,dataset_files,sequence,phase,phase_ms
scale-2,init,2,1,auth.kdf_identity,1393.314
scale-2,init,2,1,init.checkpoint_publish_w2,2285.91
scale-2,init,2,1,init.cloud_head_fetch,699.305
scale-2,init,2,1,init.genesis_publish_w2,2584.923
scale-2,status,2,2,auth.kdf_identity,208.64
scale-2,status,2,2,preflight.checkpoint_evaluation,0.742
scale-2,status,2,2,preflight.cloud_head_fetch,611.737
scale-2,status,2,2,preflight.outbox_replay,0.065
scale-2,status,2,2,preflight.relay_fetch_r2,2272.679
scale-2,status,2,2,preflight.total,2890.759
scale-2,list,2,3,auth.kdf_identity,178.379
scale-2,list,2,3,preflight.checkpoint_evaluation,0.699
scale-2,list,2,3,preflight.cloud_head_fetch,526.384
scale-2,list,2,3,preflight.outbox_replay,0.081
scale-2,list,2,3,preflight.relay_fetch_r2,2485.587
scale-2,list,2,3,preflight.total,3019.672
scale-2,tree,2,4,auth.kdf_identity,188.055
scale-2,tree,2,4,preflight.checkpoint_evaluation,0.753
scale-2,tree,2,4,preflight.cloud_head_fetch,519.619
scale-2,tree,2,4,preflight.outbox_replay,0.072
scale-2,tree,2,4,preflight.relay_fetch_r2,2379.825
scale-2,tree,2,4,preflight.total,2906.069
scale-2,cat-sample-1,2,5,auth.kdf_identity,197.528
scale-2,cat-sample-1,2,5,preflight.checkpoint_evaluation,0.738
scale-2,cat-sample-1,2,5,preflight.cloud_head_fetch,481.34
scale-2,cat-sample-1,2,5,preflight.outbox_replay,0.072
scale-2,cat-sample-1,2,5,preflight.relay_fetch_r2,2303.29
scale-2,cat-sample-1,2,5,preflight.total,2791.274
scale-2,cat-sample-1,2,5,read.blob_decrypt_verify,0.25
scale-2,cat-sample-1,2,5,read.blob_fetch,595.701
scale-2,cat-sample-1,2,5,read.path_resolution,4987.895
scale-2,quick-scan,2,6,auth.kdf_identity,180.496
scale-2,quick-scan,2,6,preflight.checkpoint_evaluation,0.781
scale-2,quick-scan,2,6,preflight.cloud_head_fetch,431.317
scale-2,quick-scan,2,6,preflight.outbox_replay,0.072
scale-2,quick-scan,2,6,preflight.relay_fetch_r2,2414.465
scale-2,quick-scan,2,6,preflight.total,2852.288
scale-2,deep-scan,2,7,auth.kdf_identity,190.242
scale-2,deep-scan,2,7,preflight.checkpoint_evaluation,0.75
scale-2,deep-scan,2,7,preflight.cloud_head_fetch,604.431
scale-2,deep-scan,2,7,preflight.outbox_replay,0.074
scale-2,deep-scan,2,7,preflight.relay_fetch_r2,2230.335
scale-2,deep-scan,2,7,preflight.total,2841.454
