scenario,operation,dataset_files,phase,n,mean_ms,median_ms,p95_ms,p99_ms
scale-1,cat,1,auth.kdf_identity,1,185.793,185.793,185.793,185.793
scale-1,cat,1,preflight.checkpoint_evaluation,1,0.714,0.714,0.714,0.714
scale-1,cat,1,preflight.cloud_head_fetch,1,473.97,473.97,473.97,473.97
scale-1,cat,1,preflight.outbox_replay,1,0.07,0.07,0.07,0.07
scale-1,cat,1,preflight.relay_fetch_r2,1,2376.114,2376.114,2376.114,2376.114
scale-1,cat,1,preflight.total,1,2856.783,2856.783,2856.783,2856.783
scale-1,cat,1,read.blob_decrypt_verify,1,0.19,0.19,0.19,0.19
scale-1,cat,1,read.blob_fetch,1,646.708,646.708,646.708,646.708
scale-1,cat,1,read.path_resolution,1,4893.82,4893.82,4893.82,4893.82
scale-1,deep-scan,1,auth.kdf_identity,1,195.549,195.549,195.549,195.549
scale-1,deep-scan,1,preflight.checkpoint_evaluation,1,0.765,0.765,0.765,0.765
scale-1,deep-scan,1,preflight.cloud_head_fetch,1,514.675,514.675,514.675,514.675
scale-1,deep-scan,1,preflight.outbox_replay,1,0.073,0.073,0.073,0.073
scale-1,deep-scan,1,preflight.relay_fetch_r2,1,2276.551,2276.551,2276.551,2276.551
scale-1,deep-scan,1,preflight.total,1,2797.61,2797.61,2797.61,2797.61
scale-1,init,1,auth.kdf_identity,1,1181.325,1181.325,1181.325,1181.325
scale-1,init,1,init.checkpoint_publish_w2,1,2497.445,2497.445,2497.445,2497.445
scale-1,init,1,init.cloud_head_fetch,1,487.805,487.805,487.805,487.805
scale-1,init,1,init.genesis_publish_w2,1,2742.068,2742.068,2742.068,2742.068
scale-1,list,1,auth.kdf_identity,1,199.432,199.432,199.432,199.432
scale-1,list,1,preflight.checkpoint_evaluation,1,0.429,0.429,0.429,0.429
scale-1,list,1,preflight.cloud_head_fetch,1,535.941,535.941,535.941,535.941
scale-1,list,1,preflight.outbox_replay,1,0.089,0.089,0.089,0.089
scale-1,list,1,preflight.relay_fetch_r2,1,2393.131,2393.131,2393.131,2393.131
scale-1,list,1,preflight.total,1,2934.178,2934.178,2934.178,2934.178
scale-1,quick-scan,1,auth.kdf_identity,1,181.929,181.929,181.929,181.929
scale-1,quick-scan,1,preflight.checkpoint_evaluation,1,0.848,0.848,0.848,0.848
scale-1,quick-scan,1,preflight.cloud_head_fetch,1,449.933,449.933,449.933,449.933
scale-1,quick-scan,1,preflight.outbox_replay,1,0.069,0.069,0.069,0.069
scale-1,quick-scan,1,preflight.relay_fetch_r2,1,2402.087,2402.087,2402.087,2402.087
scale-1,quick-scan,1,preflight.total,1,2859.588,2859.588,2859.588,2859.588
scale-1,status,1,auth.kdf_identity,1,182.047,182.047,182.047,182.047
scale-1,status,1,preflight.checkpoint_evaluation,1,0.791,0.791,0.791,0.791
scale-1,status,1,preflight.cloud_head_fetch,1,618.402,618.402,618.402,618.402
scale-1,status,1,preflight.outbox_replay,1,0.065,0.065,0.065,0.065
scale-1,status,1,preflight.relay_fetch_r2,1,2471.264,2471.264,2471.264,2471.264
scale-1,status,1,preflight.total,1,3097.09,3097.09,3097.09,3097.09
scale-1,tree,1,auth.kdf_identity,1,180.308,180.308,180.308,180.308
