scenario,operation,dataset_files,file_size_bytes,sequence,total_ms,success,return_code,error_class
scale-1,init,1,8192,1,15857.041,1,0,
scale-1,status,1,8192,2,4622.065,1,0,
scale-1,list,1,8192,3,7575.797,1,0,
scale-1,tree,1,8192,4,11186.535,1,0,
scale-1,cat-sample-1,1,8192,5,9905.915,1,0,
scale-1,quick-scan,1,8192,6,9781.898,1,0,
scale-1,deep-scan,1,8192,7,10528.08,1,0,
scale-2,init,2,8192,8,16469.349,1,0,
scale-2,status,2,8192,9,7153.143,1,0,
scale-2,list,2,8192,10,6149.067,1,0,
scale-2,tree,2,8192,11,10670.373,1,0,
scale-2,cat-sample-1,2,8192,12,9806.703,1,0,
scale-2,quick-scan,2,8192,13,9991.423,1,0,
scale-2,deep-scan,2,8192,14,12517.677,1,0,
scale-5,init,5,8192,15,17691.789,1,0,
scale-5,status,5,8192,16,4603.385,1,0,
scale-5,list,5,8192,17,6655.955,1,0,
scale-5,tree,5,8192,18,9987.129,1,0,
scale-5,cat-sample-1,5,8192,19,10484.78,1,0,
scale-5,quick-scan,5,8192,20,10928.442,1,0,
scale-5,deep-scan,5,8192,21,15342.766,1,0,
scale-10,init,10,8192,22,19058.53,1,0,
scale-10,status,10,8192,23,4897.933,1,0,
scale-10,list,10,8192,24,7856.418,1,0,
scale-10,tree,10,8192,25,8911.526,1,0,
scale-10,cat-sample-1,10,8192,26,10816.769,1,0,
scale-10,quick-scan,10,8192,27,12823.068,1,0,
scale-10,deep-scan,10,8192,28,20457.104,1,0,
cleanup,destroy,0,8192,29,1448.017,1,0,
cleanup,destroy,0,8192,30,1353.062,1,0,
cleanup,destroy,0,8192,31,1529.181,1,0,
cleanup,destroy,0,8192,32,1340.014,1,0,
