scenario,operation,dataset_files,sequence,phase,phase_ms
scale-1,init,1,1,auth.kdf_identity,1181.325
scale-1,init,1,1,init.checkpoint_publish_w2,2497.445
scale-1,init,1,1,init.cloud_head_fetch,487.805
scale-1,init,1,1,init.genesis_publish_w2,2742.068
scale-1,status,1,2,auth.kdf_identity,182.047
scale-1,status,1,2,preflight.checkpoint_evaluation,0.791
scale-1,status,1,2,preflight.cloud_head_fetch,618.402
scale-1,status,1,2,preflight.outbox_replay,0.065
scale-1,status,1,2,preflight.relay_fetch_r2,2471.264
scale-1,status,1,2,preflight.total,3097.09
scale-1,list,1,3,auth.kdf_identity,199.432
scale-1,list,1,3,preflight.checkpoint_evaluation,0.429
scale-1,list,1,3,preflight.cloud_head_fetch,535.941
scale-1,list,1,3,preflight.outbox_replay,0.089
scale-1,list,1,3,preflight.relay_fetch_r2,2393.131
scale-1,list,1,3,preflight.total,2934.178
scale-1,tree,1,4,auth.kdf_identity,180.308
scale-1,tree,1,4,preflight.checkpoint_evaluation,0.74
scale-1,tree,1,4,preflight.cloud_head_fetch,1600.761
scale-1,tree,1,4,preflight.outbox_replay,0.071
scale-1,tree,1,4,preflight.relay_fetch_r2,2274.194
scale-1,tree,1,4,preflight.total,3883.441
scale-1,cat-sample-1,1,5,auth.kdf_identity,185.793
scale-1,cat-sample-1,1,5,preflight.checkpoint_evaluation,0.714
scale-1,cat-sample-1,1,5,preflight.cloud_head_fetch,473.97
scale-1,cat-sample-1,1,5,preflight.outbox_replay,0.07
scale-1,cat-sample-1,1,5,preflight.relay_fetch_r2,2376.114
scale-1,cat-sample-1,1,5,preflight.total,2856.783
scale-1,cat-sample-1,1,5,read.blob_decrypt_verify,0.19
scale-1,cat-sample-1,1,5,read.blob_fetch,646.708
scale-1,cat-sample-1,1,5,read.path_resolution,4893.82
scale-1,quick-scan,1,6,auth.kdf_identity,181.929
scale-1,quick-scan,1,6,preflight.checkpoint_evaluation,0.848
scale-1,quick-scan,1,6,preflight.cloud_head_fetch,449.933
scale-1,quick-scan,1,6,preflight.outbox_replay,0.069
scale-1,quick-scan,1,6,preflight.relay_fetch_r2,2402.087
scale-1,quick-scan,1,6,preflight.total,2859.588
scale-1,deep-scan,1,7,auth.kdf_identity,195.549
scale-1,deep-scan,1,7,preflight.checkpoint_evaluation,0.765
scale-1,deep-scan,1,7,preflight.cloud_head_fetch,514.675
scale-1,deep-scan,1,7,preflight.outbox_replay,0.073
scale-1,deep-scan,1,7,preflight.relay_fetch_r2,2276.551
scale-1,deep-scan,1,7,preflight.total,2797.61
scale-2,init,2,8,auth.kdf_identity,1113.467
scale-2,init,2,8,init.checkpoint_publish_w2,2380.877
scale-2,init,2,8,init.cloud_head_fetch,768.632
scale-2,init,2,8,init.genesis_publish_w2,2331.366
scale-2,status,2,9,auth.kdf_identity,201.698
scale-2,status,2,9,preflight.checkpoint_evaluation,0.795
scale-2,status,2,9,preflight.cloud_head_fetch,1714.627
scale-2,status,2,9,preflight.outbox_replay,0.076
scale-2,status,2,9,preflight.relay_fetch_r2,3662.784
scale-2,status,2,9,preflight.total,5386.849
scale-2,list,2,10,auth.kdf_identity,184.175
scale-2,list,2,10,preflight.checkpoint_evaluation,0.709
scale-2,list,2,10,preflight.cloud_head_fetch,542.433
scale-2,list,2,10,preflight.outbox_replay,0.071
scale-2,list,2,10,preflight.relay_fetch_r2,2330.22
scale-2,list,2,10,preflight.total,2878.789
scale-2,tree,2,11,auth.kdf_identity,196.044
scale-2,tree,2,11,preflight.checkpoint_evaluation,0.714
scale-2,tree,2,11,preflight.cloud_head_fetch,467.452
scale-2,tree,2,11,preflight.outbox_replay,0.07
scale-2,tree,2,11,preflight.relay_fetch_r2,2394.017
scale-2,tree,2,11,preflight.total,2870.065
scale-2,cat-sample-1,2,12,auth.kdf_identity,181.825
scale-2,cat-sample-1,2,12,preflight.checkpoint_evaluation,0.484
scale-2,cat-sample-1,2,12,preflight.cloud_head_fetch,527.325
scale-2,cat-sample-1,2,12,preflight.outbox_replay,0.057
scale-2,cat-sample-1,2,12,preflight.relay_fetch_r2,2386.475
scale-2,cat-sample-1,2,12,preflight.total,2918.996
scale-2,cat-sample-1,2,12,read.blob_decrypt_verify,0.164
scale-2,cat-sample-1,2,12,read.blob_fetch,717.866
scale-2,cat-sample-1,2,12,read.path_resolution,4658.39
scale-2,quick-scan,2,13,auth.kdf_identity,185.797
scale-2,quick-scan,2,13,preflight.checkpoint_evaluation,0.736
scale-2,quick-scan,2,13,preflight.cloud_head_fetch,546.8
scale-2,quick-scan,2,13,preflight.outbox_replay,0.072
scale-2,quick-scan,2,13,preflight.relay_fetch_r2,2361.08
scale-2,quick-scan,2,13,preflight.total,2914.325
scale-2,deep-scan,2,14,auth.kdf_identity,187.249
scale-2,deep-scan,2,14,preflight.checkpoint_evaluation,0.819
scale-2,deep-scan,2,14,preflight.cloud_head_fetch,585.798
scale-2,deep-scan,2,14,preflight.outbox_replay,0.072
scale-2,deep-scan,2,14,preflight.relay_fetch_r2,2277.259
scale-2,deep-scan,2,14,preflight.total,2869.243
scale-5,init,5,15,auth.kdf_identity,1231.274
scale-5,init,5,15,init.checkpoint_publish_w2,2571.191
scale-5,init,5,15,init.cloud_head_fetch,798.731
scale-5,init,5,15,init.genesis_publish_w2,2362.687
scale-5,status,5,16,auth.kdf_identity,178.38
scale-5,status,5,16,preflight.checkpoint_evaluation,0.73
scale-5,status,5,16,preflight.cloud_head_fetch,555.968
scale-5,status,5,16,preflight.outbox_replay,0.074
scale-5,status,5,16,preflight.relay_fetch_r2,2305.288
scale-5,status,5,16,preflight.total,2867.716
scale-5,list,5,17,auth.kdf_identity,198.714
scale-5,list,5,17,preflight.checkpoint_evaluation,0.738
scale-5,list,5,17,preflight.cloud_head_fetch,455.053
scale-5,list,5,17,preflight.outbox_replay,0.071
scale-5,list,5,17,preflight.relay_fetch_r2,2330.42
scale-5,list,5,17,preflight.total,2791.255
scale-5,tree,5,18,auth.kdf_identity,175.745
scale-5,tree,5,18,preflight.checkpoint_evaluation,0.851
scale-5,tree,5,18,preflight.cloud_head_fetch,596.538
scale-5,tree,5,18,preflight.outbox_replay,0.068
scale-5,tree,5,18,preflight.relay_fetch_r2,2375.377
scale-5,tree,5,18,preflight.total,2978.319
scale-5,cat-sample-1,5,19,auth.kdf_identity,189.114
