scenario,operation,dataset_files,n,successes,mean_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms
scale-1,cat,1,1,1,9905.915,9905.915,9905.915,9905.915,9905.915,9905.915
scale-1,deep-scan,1,1,1,10528.08,10528.08,10528.08,10528.08,10528.08,10528.08
scale-1,init,1,1,1,15857.041,15857.041,15857.041,15857.041,15857.041,15857.041
scale-1,list,1,1,1,7575.797,7575.797,7575.797,7575.797,7575.797,7575.797
scale-1,quick-scan,1,1,1,9781.898,9781.898,9781.898,9781.898,9781.898,9781.898
scale-1,status,1,1,1,4622.065,4622.065,4622.065,4622.065,4622.065,4622.065
scale-1,tree,1,1,1,11186.535,11186.535,11186.535,11186.535,11186.535,11186.535
scale-10,cat,10,1,1,10816.769,10816.769,10816.769,10816.769,10816.769,10816.769
scale-10,deep-scan,10,1,1,20457.104,20457.104,20457.104,20457.104,20457.104,20457.104
scale-10,init,10,1,1,19058.53,19058.53,19058.53,19058.53,19058.53,19058.53
scale-10,list,10,1,1,7856.418,7856.418,7856.418,7856.418,7856.418,7856.418
scale-10,quick-scan,10,1,1,12823.068,12823.068,12823.068,12823.068,12823.068,12823.068
scale-10,status,10,1,1,4897.933,4897.933,4897.933,4897.933,4897.933,4897.933
scale-10,tree,10,1,1,8911.526,8911.526,8911.526,8911.526,8911.526,8911.526
scale-2,cat,2,1,1,9806.703,9806.703,9806.703,9806.703,9806.703,9806.703
scale-2,deep-scan,2,1,1,12517.677,12517.677,12517.677,12517.677,12517.677,12517.677
scale-2,init,2,1,1,16469.349,16469.349,16469.349,16469.349,16469.349,16469.349
scale-2,list,2,1,1,6149.067,6149.067,6149.067,6149.067,6149.067,6149.067
scale-2,quick-scan,2,1,1,9991.423,9991.423,9991.423,9991.423,9991.423,9991.423
scale-2,status,2,1,1,7153.143,7153.143,7153.143,7153.143,7153.143,7153.143
scale-2,tree,2,1,1,10670.373,10670.373,10670.373,10670.373,10670.373,10670.373
scale-5,cat,5,1,1,10484.78,10484.78,10484.78,10484.78,10484.78,10484.78
scale-5,deep-scan,5,1,1,15342.766,15342.766,15342.766,15342.766,15342.766,15342.766
scale-5,init,5,1,1,17691.789,17691.789,17691.789,17691.789,17691.789,17691.789
scale-5,list,5,1,1,6655.955,6655.955,6655.955,6655.955,6655.955,6655.955
scale-5,quick-scan,5,1,1,10928.442,10928.442,10928.442,10928.442,10928.442,10928.442
scale-5,status,5,1,1,4603.385,4603.385,4603.385,4603.385,4603.385,4603.385
scale-5,tree,5,1,1,9987.129,9987.129,9987.129,9987.129,9987.129,9987.129
