scenario,operation,dataset_files,phase,n,mean_ms,median_ms,p95_ms,p99_ms
scale-10,cat,10,auth.kdf_identity,1,186.343,186.343,186.343,186.343
scale-10,cat,10,preflight.checkpoint_evaluation,1,0.628,0.628,0.628,0.628
scale-10,cat,10,preflight.cloud_head_fetch,1,525.529,525.529,525.529,525.529
scale-10,cat,10,preflight.outbox_replay,1,0.076,0.076,0.076,0.076
scale-10,cat,10,preflight.relay_fetch_r2,1,2314.046,2314.046,2314.046,2314.046
scale-10,cat,10,preflight.total,1,2845.999,2845.999,2845.999,2845.999
scale-10,cat,10,read.blob_decrypt_verify,1,0.174,0.174,0.174,0.174
scale-10,cat,10,read.blob_fetch,1,581.433,581.433,581.433,581.433
scale-10,cat,10,read.path_resolution,1,3496.678,3496.678,3496.678,3496.678
scale-10,deep-scan,10,auth.kdf_identity,1,197.856,197.856,197.856,197.856
scale-10,deep-scan,10,preflight.checkpoint_evaluation,1,0.331,0.331,0.331,0.331
scale-10,deep-scan,10,preflight.cloud_head_fetch,1,1667.815,1667.815,1667.815,1667.815
scale-10,deep-scan,10,preflight.outbox_replay,1,0.069,0.069,0.069,0.069
scale-10,deep-scan,10,preflight.relay_fetch_r2,1,2246.429,2246.429,2246.429,2246.429
scale-10,deep-scan,10,preflight.total,1,3919.021,3919.021,3919.021,3919.021
scale-10,init,10,auth.kdf_identity,1,1440.166,1440.166,1440.166,1440.166
scale-10,init,10,init.checkpoint_publish_w2,1,2680.911,2680.911,2680.911,2680.911
scale-10,init,10,init.cloud_head_fetch,1,623.707,623.707,623.707,623.707
scale-10,init,10,init.genesis_publish_w2,1,2630.866,2630.866,2630.866,2630.866
scale-10,list,10,auth.kdf_identity,1,199.601,199.601,199.601,199.601
scale-10,list,10,preflight.checkpoint_evaluation,1,0.628,0.628,0.628,0.628
scale-10,list,10,preflight.cloud_head_fetch,1,690.782,690.782,690.782,690.782
scale-10,list,10,preflight.outbox_replay,1,0.071,0.071,0.071,0.071
scale-10,list,10,preflight.relay_fetch_r2,1,2335.502,2335.502,2335.502,2335.502
scale-10,list,10,preflight.total,1,3032.275,3032.275,3032.275,3032.275
scale-10,quick-scan,10,auth.kdf_identity,1,183.238,183.238,183.238,183.238
scale-10,quick-scan,10,preflight.checkpoint_evaluation,1,0.726,0.726,0.726,0.726
scale-10,quick-scan,10,preflight.cloud_head_fetch,1,501.332,501.332,501.332,501.332
scale-10,quick-scan,10,preflight.outbox_replay,1,0.077,0.077,0.077,0.077
scale-10,quick-scan,10,preflight.relay_fetch_r2,1,2558.531,2558.531,2558.531,2558.531
scale-10,quick-scan,10,preflight.total,1,3065.765,3065.765,3065.765,3065.765
scale-10,status,10,auth.kdf_identity,1,201.181,201.181,201.181,201.181
scale-10,status,10,preflight.checkpoint_evaluation,1,0.748,0.748,0.748,0.748
scale-10,status,10,preflight.cloud_head_fetch,1,428.726,428.726,428.726,428.726
scale-10,status,10,preflight.outbox_replay,1,0.079,0.079,0.079,0.079
scale-10,status,10,preflight.relay_fetch_r2,1,2381.994,2381.994,2381.994,2381.994
scale-10,status,10,preflight.total,1,2816.972,2816.972,2816.972,2816.972
scale-10,tree,10,auth.kdf_identity,1,177.445,177.445,177.445,177.445
scale-10,tree,10,preflight.checkpoint_evaluation,1,0.718,0.718,0.718,0.718
scale-10,tree,10,preflight.cloud_head_fetch,1,936.911,936.911,936.911,936.911
scale-10,tree,10,preflight.outbox_replay,1,0.071,0.071,0.071,0.071
scale-10,tree,10,preflight.relay_fetch_r2,1,2433.719,2433.719,2433.719,2433.719
scale-10,tree,10,preflight.total,1,3376.461,3376.461,3376.461,3376.461
ycsb-a,read,10,auth.kdf_identity,10,190.184,188.567,199.789,201.615
ycsb-a,read,10,preflight.checkpoint_evaluation,10,0.985,0.98,1.308,1.308
ycsb-a,read,10,preflight.cloud_head_fetch,10,769.473,559.792,1673.935,1737.721
ycsb-a,read,10,preflight.outbox_replay,10,0.076,0.072,0.096,0.101
ycsb-a,read,10,preflight.relay_fetch_r2,10,2716.575,2400.105,4225.865,5229.421
