scenario,operation,dataset_files,file_size_bytes,sequence,total_ms,success,return_code,error_class
scale-10,init,10,8192,1,17749.425,1,0,
scale-10,status,10,8192,2,4442.83,1,0,
scale-10,list,10,8192,3,6657.322,1,0,
scale-10,tree,10,8192,4,9721.275,1,0,
scale-10,cat-sample-1,10,8192,5,8427.534,1,0,
scale-10,quick-scan,10,8192,6,11238.538,1,0,
scale-10,deep-scan,10,8192,7,20180.124,1,0,
ycsb-c,read,10,8192,8,12169.477,1,0,
ycsb-c,read,10,8192,9,9246.04,1,0,
ycsb-c,read,10,8192,10,10170.452,1,0,
ycsb-c,read,10,8192,11,9751.456,1,0,
ycsb-c,read,10,8192,12,9901.96,1,0,
ycsb-c,read,10,8192,13,10086.447,1,0,
ycsb-c,read,10,8192,14,8907.614,1,0,
ycsb-c,read,10,8192,15,9880.276,1,0,
ycsb-c,read,10,8192,16,8927.101,1,0,
ycsb-c,read,10,8192,17,9947.981,1,0,
ycsb-c,read,10,8192,18,10059.116,1,0,
ycsb-c,read,10,8192,19,10215.028,1,0,
ycsb-c,read,10,8192,20,9841.893,1,0,
ycsb-c,read,10,8192,21,9676.469,1,0,
ycsb-c,read,10,8192,22,9965.309,1,0,
ycsb-c,read,10,8192,23,10149.525,1,0,
ycsb-c,read,10,8192,24,8870.583,1,0,
ycsb-c,read,10,8192,25,10035.645,1,0,
ycsb-c,read,10,8192,26,8735.459,1,0,
ycsb-c,read,10,8192,27,10094.13,1,0,
ycsb-b,read,10,8192,28,10123.866,1,0,
ycsb-b,read,10,8192,29,9379.905,1,0,
ycsb-b,update,10,8192,30,25131.525,1,0,
ycsb-b,read,10,8192,31,10224.188,1,0,
ycsb-b,read,10,8192,32,9085.13,1,0,
ycsb-b,read,10,8192,33,12602.771,1,0,
ycsb-b,read,10,8192,34,9778.815,1,0,
ycsb-b,read,10,8192,35,10287.939,1,0,
ycsb-b,read,10,8192,36,10151.56,1,0,
ycsb-b,read,10,8192,37,9790.024,1,0,
ycsb-b,read,10,8192,38,9870.674,1,0,
ycsb-b,read,10,8192,39,10343.238,1,0,
ycsb-b,read,10,8192,40,9940.538,1,0,
ycsb-b,read,10,8192,41,9850.885,1,0,
ycsb-b,read,10,8192,42,9618.105,1,0,
ycsb-b,read,10,8192,43,9918.996,1,0,
ycsb-b,read,10,8192,44,9844.699,1,0,
ycsb-b,read,10,8192,45,9830.608,1,0,
ycsb-b,read,10,8192,46,11682.83,1,0,
ycsb-b,read,10,8192,47,9744.623,1,0,
ycsb-a,update,10,8192,48,24288.534,1,0,
ycsb-a,read,10,8192,49,10002.179,1,0,
ycsb-a,update,10,8192,50,23963.264,1,0,
ycsb-a,read,10,8192,51,10822.772,1,0,
ycsb-a,update,10,8192,52,23722.525,1,0,
ycsb-a,update,10,8192,53,26155.453,1,0,
ycsb-a,update,10,8192,54,24477.85,1,0,
ycsb-a,update,10,8192,55,25164.367,1,0,
ycsb-a,update,10,8192,56,24242.672,1,0,
ycsb-a,update,10,8192,57,25499.408,1,0,
ycsb-a,read,10,8192,58,10064.476,1,0,
ycsb-a,read,10,8192,59,9795.453,1,0,
ycsb-a,update,10,8192,60,25753.385,1,0,
ycsb-a,read,10,8192,61,8751.202,1,0,
ycsb-a,read,10,8192,62,10100.441,1,0,
ycsb-a,read,10,8192,63,9901.726,1,0,
ycsb-a,read,10,8192,64,8760.495,1,0,
ycsb-a,read,10,8192,65,11832.156,1,0,
ycsb-a,read,10,8192,66,11262.57,1,0,
ycsb-a,update,10,8192,67,23672.52,1,0,
cleanup,destroy,0,8192,68,1463.544,1,0,
