scenario,operation,dataset_files,sequence,phase,phase_ms
scale-10,init,10,1,auth.kdf_identity,1440.166
scale-10,init,10,1,init.checkpoint_publish_w2,2680.911
scale-10,init,10,1,init.cloud_head_fetch,623.707
scale-10,init,10,1,init.genesis_publish_w2,2630.866
scale-10,status,10,2,auth.kdf_identity,201.181
scale-10,status,10,2,preflight.checkpoint_evaluation,0.748
scale-10,status,10,2,preflight.cloud_head_fetch,428.726
scale-10,status,10,2,preflight.outbox_replay,0.079
scale-10,status,10,2,preflight.relay_fetch_r2,2381.994
scale-10,status,10,2,preflight.total,2816.972
scale-10,list,10,3,auth.kdf_identity,199.601
scale-10,list,10,3,preflight.checkpoint_evaluation,0.628
scale-10,list,10,3,preflight.cloud_head_fetch,690.782
scale-10,list,10,3,preflight.outbox_replay,0.071
scale-10,list,10,3,preflight.relay_fetch_r2,2335.502
scale-10,list,10,3,preflight.total,3032.275
scale-10,tree,10,4,auth.kdf_identity,177.445
scale-10,tree,10,4,preflight.checkpoint_evaluation,0.718
scale-10,tree,10,4,preflight.cloud_head_fetch,936.911
scale-10,tree,10,4,preflight.outbox_replay,0.071
scale-10,tree,10,4,preflight.relay_fetch_r2,2433.719
scale-10,tree,10,4,preflight.total,3376.461
scale-10,cat-sample-1,10,5,auth.kdf_identity,186.343
scale-10,cat-sample-1,10,5,preflight.checkpoint_evaluation,0.628
scale-10,cat-sample-1,10,5,preflight.cloud_head_fetch,525.529
scale-10,cat-sample-1,10,5,preflight.outbox_replay,0.076
scale-10,cat-sample-1,10,5,preflight.relay_fetch_r2,2314.046
scale-10,cat-sample-1,10,5,preflight.total,2845.999
scale-10,cat-sample-1,10,5,read.blob_decrypt_verify,0.174
scale-10,cat-sample-1,10,5,read.blob_fetch,581.433
scale-10,cat-sample-1,10,5,read.path_resolution,3496.678
scale-10,quick-scan,10,6,auth.kdf_identity,183.238
scale-10,quick-scan,10,6,preflight.checkpoint_evaluation,0.726
scale-10,quick-scan,10,6,preflight.cloud_head_fetch,501.332
scale-10,quick-scan,10,6,preflight.outbox_replay,0.077
scale-10,quick-scan,10,6,preflight.relay_fetch_r2,2558.531
scale-10,quick-scan,10,6,preflight.total,3065.765
scale-10,deep-scan,10,7,auth.kdf_identity,197.856
scale-10,deep-scan,10,7,preflight.checkpoint_evaluation,0.331
scale-10,deep-scan,10,7,preflight.cloud_head_fetch,1667.815
scale-10,deep-scan,10,7,preflight.outbox_replay,0.069
scale-10,deep-scan,10,7,preflight.relay_fetch_r2,2246.429
scale-10,deep-scan,10,7,preflight.total,3919.021
ycsb-c,read,10,8,auth.kdf_identity,195.355
ycsb-c,read,10,8,preflight.checkpoint_evaluation,0.743
ycsb-c,read,10,8,preflight.cloud_head_fetch,667.187
ycsb-c,read,10,8,preflight.outbox_replay,0.072
ycsb-c,read,10,8,preflight.relay_fetch_r2,4409.5
ycsb-c,read,10,8,preflight.total,5083.69
ycsb-c,read,10,8,read.blob_decrypt_verify,0.204
ycsb-c,read,10,8,read.blob_fetch,597.894
ycsb-c,read,10,8,read.path_resolution,4720.471
